auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,model_name,modality,feature_strategy,calibration_method,source_rows,validation_rows,external_rows,n_features
0.5000682479253067,0.03940096047115131,0.5165436895744208,0.06789366053169735,0.2912280701754386,0.7418593089734029,0.11934484853753968,0.2643597503525356,0.40555220242065665,0.3767273651291042,8331.0,xgboost,cough,drop_high_shift,platt,2957,634,8331,232
0.4840587673508903,0.036119491886915385,0.47258984523202113,0.060162871863054676,0.6350877192982456,0.3100919711657967,0.1200360614450344,0.28637565284251526,0.4189658568254478,0.28243011479916397,8331.0,xgboost,cough,top_stable_50,platt,2957,634,8331,50
0.48012044777616425,0.041862330124534636,0.4847279458900794,0.058649448479956956,0.3824561403508772,0.5869997514292816,0.11317246284038877,0.26357000609478526,0.39662756271411004,0.30997959850093465,8331.0,xgboost,cough,top_stable_80,platt,2957,634,8331,80
0.4843077741582393,0.04196070948573093,0.4967711971950757,0.0634441087613293,0.5157894736842106,0.47775292070594083,0.11602534652184539,0.26775225478536446,0.4027917502269364,0.2821662411574381,8331.0,xgboost,cough,top_stable_120,platt,2957,634,8331,120
0.5182298276140264,0.03858922190051838,0.49888470243468475,0.05901044030867,0.22807017543859648,0.7696992294307731,0.09897131202266989,0.21503645166512889,0.351582859604333,0.2987352634530213,8331.0,lightgbm,cough,all,platt,2957,634,8331,253
0.5157044363331894,0.038170068071540476,0.520081897510368,0.06932409012131716,0.3508771929824561,0.6892866020382798,0.1162659414189607,0.2555687426219727,0.3971071576387792,0.31220024360995363,8331.0,lightgbm,cough,drop_high_shift,platt,2957,634,8331,232
0.4976651796032462,0.040303452765261705,0.5067670107408716,0.06585935840237943,0.543859649122807,0.4696743723589361,0.1187456078627908,0.2803437584066432,0.41351700627059074,0.2870243104360724,8331.0,lightgbm,cough,top_stable_50,platt,2957,634,8331,50
0.4949854128236325,0.0414076926681148,0.48808299645459663,0.05848309473042949,0.3368421052631579,0.6393238876460353,0.11350473447207847,0.2629747577605771,0.39705155834089456,0.30698204539773344,8331.0,lightgbm,cough,top_stable_80,platt,2957,634,8331,80
0.49578738045710846,0.042065939230411534,0.5036585684943156,0.06454841130848137,0.45263157894736844,0.5546855580412627,0.11498939038233005,0.2657390937014322,0.4006702868250605,0.2795477317816287,8331.0,lightgbm,cough,top_stable_120,platt,2957,634,8331,120
0.5263009624483779,0.039278401713305114,0.5172841686617737,0.06820276497695853,0.2596491228070175,0.7749192145165299,0.10405235440582637,0.23104737664476427,0.3652794274531708,0.355505753009242,8331.0,catboost,cough,all,platt,2957,634,8331,253
0.5139269376523585,0.04093888530331618,0.5248047411593861,0.0711997152011392,0.3508771929824561,0.6987322893363161,0.1185467819627851,0.2626305115440639,0.40312834590256363,0.3524585952061172,8331.0,catboost,cough,drop_high_shift,platt,2957,634,8331,232
0.4860743706145802,0.03691969787051844,0.5045985582898335,0.06358768406961178,0.3333333333333333,0.6758637832463336,0.12108954265364225,0.28615524183842833,0.4202106645520116,0.35141022120650844,8331.0,catboost,cough,top_stable_50,platt,2957,634,8331,50
0.488048109336229,0.04224022184978921,0.48532647801457407,0.06011183597390494,0.45263157894736844,0.5180213770817798,0.1160096935178457,0.26802108145103387,0.40281752421615935,0.2946697899285819,8331.0,catboost,cough,top_stable_80,platt,2957,634,8331,80
0.4876988020635731,0.044400181147651874,0.4796001936235069,0.059333044608055434,0.4807017543859649,0.478498632861049,0.11738031820683577,0.2707597761345658,0.40624795825892146,0.2861506597550864,8331.0,catboost,cough,top_stable_120,platt,2957,634,8331,120
