feature,source_mean,external_mean,source_std,external_std,standardized_mean_difference,abs_standardized_mean_difference,ks_statistic,n_source,n_external
delta_mfcc_19_std,1.1676289970184464,1.3286688372469537,0.5289104927631031,0.4671283455924221,0.32272704185532114,0.32272704185532114,0.14076135178236787,19024,8331
mfcc_28_mean,-0.6714309174615785,0.5806038026032672,5.245511088481744,1.9049906432981762,0.3172695786303851,0.3172695786303851,0.29609313946845406,19024,8331
mfcc_36_mean,-0.5323236308852315,0.5161245313620525,4.542788351048893,1.3754832631791178,0.31237733289903524,0.31237733289903524,0.2997140418829467,19024,8331
delta_mfcc_17_std,1.2306104160842735,1.3960354497414535,0.5697878424189204,0.4952761172489301,0.3098686275153118,0.3098686275153118,0.13954640268156498,19024,8331
mfcc_35_std,4.597423835522813,4.029029411433797,2.3141773915532315,1.2812937842469208,-0.3038714926907859,0.3038714926907859,0.12204101757407126,19024,8331
delta_mfcc_21_std,1.0859083870540962,1.2249693043477223,0.4872615952244111,0.42770941205546764,0.30331369268076874,0.30331369268076874,0.13717311410693733,19024,8331
mfcc_33_std,4.762766866480244,4.181533796176835,2.397440644176227,1.3388546564040165,-0.2993349618173675,0.2993349618173675,0.11922408922101224,19024,8331
mfcc_39_mean,-1.6495068018686347,-0.7103198654608094,4.269187588250692,1.2319525037601204,0.2989100809770052,0.2989100809770052,0.2764861061854258,19024,8331
mfcc_40_mean,-0.45665222613043627,0.4941991628676725,4.4144417991461005,1.162860724076557,0.2945582549044252,0.2945582549044252,0.29559237267679694,19024,8331
delta_mfcc_40_std,0.7160927539332634,0.6247150024553207,0.38255923624662797,0.221199353211501,-0.2924224368189192,0.2924224368189192,0.12418209436741534,19024,8331
mfcc_27_mean,-2.8742934969114473,-1.702371612626873,5.317853854655115,2.0363808110860746,0.2910388031588518,0.2910388031588518,0.2567288668413362,19024,8331
delta_mfcc_15_std,1.34298151258183,1.512071490917382,0.6408476237030115,0.5172766943507483,0.29034696769073864,0.29034696769073864,0.1563550704205588,19024,8331
mfcc_34_std,4.6008144422015995,4.043822302865232,2.3701825867578266,1.3382904816782908,-0.2893846929743672,0.2893846929743672,0.11172921311154682,19024,8331
mfcc_37_mean,-1.775732049192807,-0.8396752447785508,4.403719071344333,1.345436287824646,0.28747924120471846,0.28747924120471846,0.27563559260007436,19024,8331
delta2_mfcc_19_std,0.7282992318798173,0.8165728059019247,0.33262225604571966,0.2878617604618536,0.2837823213346262,0.2837823213346262,0.12871959068640146,19024,8331
mfcc_30_mean,-0.49833012406787364,0.5644479390650463,5.034590917380441,1.6805938912752145,0.283165081954999,0.283165081954999,0.2982734934494863,19024,8331
mfcc_32_mean,-0.572107265644279,0.4422938012485151,4.854263547574152,1.556102194842084,0.2814153666030382,0.2814153666030382,0.2932880226648491,19024,8331
mfcc_36_std,4.41884254011082,3.9084026623553494,2.280736740545352,1.2869610131726694,-0.2756417448919189,0.2756417448919189,0.1095944459065864,19024,8331
mfcc_8_mean,-7.6347579390659694,-5.078082883700075,11.535605911599411,6.557739528160765,0.2724756747032135,0.2724756747032135,0.16657561930629053,19024,8331
delta_mfcc_39_std,0.7311384630399009,0.6453973594983647,0.3826921393060182,0.22711243080061722,-0.27247062679763623,0.27247062679763623,0.10975720804853117,19024,8331
mfcc_32_std,4.794431103033517,4.259810781775081,2.4670790437748624,1.438469810458659,-0.2647374544332168,0.2647374544332168,0.09896248661988694,19024,8331
delta2_mfcc_20_std,0.6806284574006745,0.757836579929046,0.31152547616724474,0.27378125103562356,0.26326343477719644,0.26326343477719644,0.11373873498709156,19024,8331
delta_mfcc_20_std,1.0394855520082031,1.158630236273209,0.47217410363536866,0.44114093825553913,0.26074455672019914,0.26074455672019914,0.10002054780553021,19024,8331
mfcc_33_mean,-1.8510231032545885,-0.938083133552676,4.740046564835325,1.5170106261299854,0.25941018724704124,0.25941018724704124,0.2689076154107002,19024,8331
delta2_mfcc_40_std,0.48853479183314324,0.4363549294294737,0.25237026903761073,0.1445358683154429,-0.25372632918419935,0.25372632918419935,0.11339925389369754,19024,8331
mfcc_31_std,5.041189108316687,4.529763850032775,2.484352906549811,1.442135703113761,-0.25177270407844593,0.25177270407844593,0.10392812636823423,19024,8331
mfcc_35_mean,-1.7449160522545883,-0.9048790129603517,4.532829527370682,1.4285521298484656,0.24995883367550517,0.24995883367550517,0.26439692222316785,19024,8331
delta2_mfcc_18_std,0.7229666313510138,0.802278945891672,0.33626254517240683,0.2982356920003605,0.24954206691639794,0.24954206691639794,0.12058483398059613,19024,8331
delta2_mfcc_21_std,0.6844219374794985,0.7555020025688379,0.31084555428597616,0.2637916516322417,0.24655589585452536,0.24655589585452536,0.11920066802893206,19024,8331
delta_mfcc_18_std,1.115906585460937,1.2356504877842984,0.5148121327186373,0.4753172547672542,0.24167296280506398,0.24167296280506398,0.1008519748860211,19024,8331
mfcc_31_mean,-2.14040318961626,-1.2370299349006058,5.039940942775585,1.6791557604416996,0.24048415485282862,0.24048415485282862,0.26347196811406604,19024,8331
mfcc_11_mean,-10.00382306431135,-8.218205374284722,8.885087768713385,5.781257300794905,0.23821380112234863,0.23821380112234863,0.13658461879839393,19024,8331
mfcc_29_mean,-2.5171781827987894,-1.5794176507129079,5.320297812198411,1.8696484048306579,0.2351648905269697,0.2351648905269697,0.2498563369820926,19024,8331
delta_mfcc_23_std,1.011127768126802,1.1127383571639953,0.45727735454300533,0.4054762135619282,0.23511640276242476,0.23511640276242476,0.10127594767746073,19024,8331
mfcc_15_std,7.9841803902183655,8.698847148659105,3.3919995217711127,2.6675838516130743,0.23420292718639033,0.23420292718639033,0.11436099290307591,19024,8331
delta_mfcc_22_std,0.9938291355050494,1.0946404509503018,0.45285320249784367,0.4147135951704074,0.23216620282525968,0.23216620282525968,0.09431979684336844,19024,8331
delta_mfcc_7_std,2.329773568464451,2.586753831549633,1.2760753576491537,0.9102148175492433,0.23185062222957337,0.23185062222957337,0.20160010656642394,19024,8331
mfcc_17_std,7.2918069571099196,7.918491161509216,3.018740688208991,2.4360892446256277,0.22846353151963905,0.22846353151963905,0.10564612002210075,19024,8331
delta2_mfcc_17_std,0.7666100124661385,0.8416664090287913,0.3584523622552973,0.29724487577183883,0.22793604481210983,0.22793604481210983,0.1232533229573414,19024,8331
delta_mfcc_8_std,1.9680524624507565,2.184257226699098,1.043018726491118,0.8556839592596462,0.22662996919109812,0.22662996919109812,0.15205632892601012,19024,8331
delta2_mfcc_19_mean,0.013475003664259707,0.0052766900821493105,0.03636214213390373,0.03668690051164985,-0.22444859711880075,0.22444859711880075,0.1698028791207038,19024,8331
delta2_mfcc_21_mean,0.011274703095152187,0.003846500161613376,0.03387592281411745,0.033643941004696414,-0.22001938386738504,0.22001938386738504,0.16711559388016362,19024,8331
delta2_mfcc_39_std,0.4932840944536475,0.4473989089943541,0.25312476323288646,0.15181719030607427,-0.2198425519566992,0.2198425519566992,0.09710669155572138,19024,8331
delta2_mfcc_8_std,1.2058026866549296,1.3319798014711939,0.6513896296709849,0.5072482049841297,0.2161279457688671,0.2161279457688671,0.175500544694146,19024,8331
delta2_mfcc_22_mean,0.005589727098998541,-0.0009615715517503146,0.031026940170350955,0.03070479296457144,-0.21223858704975013,0.21223858704975013,0.14619861433362824,19024,8331
