auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,model_name,modality,table_source,calibration_method,fusion_method,source_rows,external_rows,n_features,feature_strategy,validation_rows,dataset,train_rows,test_rows
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.2189931230586287,0.0021341434952287,0.6297842529063705,0.5,636.0,dummy_most_frequent,breath,calibration_metrics,platt,,,,,,,,,
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.2189931230586287,0.0021341434952287,0.6297842529063705,0.5,636.0,dummy_most_frequent,cough,calibration_metrics,platt,,,,,,,,,
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.2189931230586287,0.0021341434952286,0.6297842529063705,0.5,1590.0,dummy_most_frequent,speech,calibration_metrics,platt,,,,,,,,,
0.4794536012643938,0.3156724058308153,0.5,0.0,0.0,1.0,0.2190891214414371,0.002057170176491,0.6300038918837314,0.5,636.0,dummy_stratified,breath,calibration_metrics,platt,,,,,,,,,
0.4794536012643938,0.3156724058308153,0.5,0.0,0.0,1.0,0.2190891214414371,0.002057170176491,0.6300038918837314,0.5,636.0,dummy_stratified,cough,calibration_metrics,platt,,,,,,,,,
0.5145947166403251,0.3306832753251511,0.5,0.0,0.0,1.0,0.2188769514828983,0.0020360550710732,0.629519106966024,0.5,1590.0,dummy_stratified,speech,calibration_metrics,platt,,,,,,,,,
0.7623391284714381,0.5755500072559496,0.5588620456084895,0.2419354838709677,0.145631067961165,0.972093023255814,0.1856708912426489,0.0654009244405846,0.5509718803238293,0.5,636.0,logistic_regression,breath,calibration_metrics,platt,,,,,,,,,
0.7963422894558592,0.6715989816286063,0.6618198238880109,0.5125,0.3980582524271844,0.9255813953488372,0.1711690945777095,0.1001730078872852,0.5222270499015272,0.5,636.0,logistic_regression,cough,calibration_metrics,platt,,,,,,,,,
0.7479620681869497,0.6020342762851154,0.6469767441860466,0.4934131736526946,0.4,0.893953488372093,0.1838029790926915,0.0515776358029987,0.547997997805202,0.5,1590.0,logistic_regression,speech,calibration_metrics,platt,,,,,,,,,
0.7970365771054415,0.674904822278262,0.6614134116053285,0.5064935064935064,0.3786407766990291,0.944186046511628,0.1709434944237457,0.0879102866416275,0.5216874297293798,0.5,636.0,random_forest,breath,calibration_metrics,platt,,,,,,,,,
