auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,model_name,modality,table_source,calibration_method,fusion_method
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.2189931230586287,0.0021341434952286,0.6297842529063705,0.5,1590.0,dummy_most_frequent,speech,calibration_metrics,platt,
0.4794536012643938,0.3156724058308153,0.5,0.0,0.0,1.0,0.2190891214414371,0.002057170176491,0.6300038918837314,0.5,636.0,dummy_stratified,breath,calibration_metrics,platt,
0.4794536012643938,0.3156724058308153,0.5,0.0,0.0,1.0,0.2190891214414371,0.002057170176491,0.6300038918837314,0.5,636.0,dummy_stratified,cough,calibration_metrics,platt,
0.5145947166403251,0.3306832753251511,0.5,0.0,0.0,1.0,0.2188769514828983,0.0020360550710732,0.629519106966024,0.5,1590.0,dummy_stratified,speech,calibration_metrics,platt,
0.755791375028223,0.5679411303828266,0.5625536238428539,0.2549800796812749,0.1553398058252427,0.9697674418604652,0.1867011040041829,0.077257498909283,0.553545780325865,0.5,636.0,logistic_regression,breath,calibration_metrics,platt,
0.788530142244299,0.6540729907904276,0.6581282456536465,0.5047318611987381,0.3883495145631068,0.927906976744186,0.1741189742426964,0.1009205762263821,0.5288867087624943,0.5,636.0,logistic_regression,cough,calibration_metrics,platt,
0.7486177466696772,0.6050202961726128,0.6455001128923008,0.4903846153846153,0.3961165048543689,0.8948837209302326,0.1839024260872298,0.053125888923069,0.548481257086628,0.5,1590.0,logistic_regression,speech,calibration_metrics,platt,
0.792526529690675,0.6641779270047647,0.6580266425829758,0.5031847133757962,0.3834951456310679,0.9325581395348838,0.1719574085654049,0.078956403584601,0.5239257132543288,0.5,636.0,random_forest,breath,calibration_metrics,platt,
0.8080153533529013,0.7201970750489585,0.6574170241589523,0.4932432432432432,0.3543689320388349,0.9604651162790696,0.1671273451424672,0.1012539362734659,0.5132764990284708,0.5,636.0,random_forest,cough,calibration_metrics,platt,
0.758459245879431,0.6214589773044573,0.6445473018740122,0.4818067754077791,0.3728155339805825,0.916279069767442,0.178111497896291,0.0497152144484861,0.5364229513021929,0.5,1590.0,random_forest,speech,calibration_metrics,platt,
0.8787085120794762,0.8406271152193218,0.8109957100925718,0.7439613526570048,0.7475728155339806,0.8744186046511628,0.1898783598200508,0.1520845271620076,0.5650953492417333,0.3463496999016514,318.0,,,fusion_metrics,,uniform_mean
0.8776699029126214,0.8427659294060377,0.8123052607812147,0.7539267015706806,0.6990291262135923,0.9255813953488372,0.1896450163289364,0.1439236010586749,0.5645722554910851,0.3570487507420015,318.0,,,fusion_metrics,,validation_weighted_auprc
0.8787085120794762,0.8382303612878866,0.7914879205238203,0.7088607594936709,0.8155339805825242,0.7674418604651163,0.1897252400032936,0.1567731997844278,0.5647822100920982,0.3339102361772045,318.0,,,quality_weighted_fusion_metrics,,quality_weighted_auprc
0.9363078363981502,0.921685319277493,0.8905923082712426,0.8537248504622077,0.8468176914778857,0.9343669250645996,0.0740908914761788,0.0747664600406287,0.2687286414374227,0.5,2862.0,metadata_logistic_regression,metadata,metadata_baseline_metrics,,
