table_source,evaluation_protocol,analysis_family,model_name,modality,modality_combination,feature_strategy,base_feature_set,ablation_name,removed_features,fusion_method,dataset,split,audit_model,control_method,prediction_source,calibration_method,n_samples,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,brier,ece,nll
coughvid_internal_metrics,,,catboost,cough,,all,,,,,coughvid,,,,,platt,1667,0.752,0.134,0.679,0.772,0.587,0.115,0.032,0.001,0.142
metadata_confounding_metrics,,,metadata_confounding_logistic_regression,metadata,,symptoms_only,,,,,coswara,,symptoms_only,,,none,2862,0.932,0.898,0.912,0.893,0.930,0.876,0.075,0.096,0.281
metadata_confounding_metrics,,,metadata_confounding_logistic_regression,metadata,,demographic_protocol_only,,,,,coswara,,demographic_protocol_only,,,none,2862,0.914,0.737,0.827,0.864,0.790,0.751,0.122,0.117,0.423
metadata_confounding_metrics,,,metadata_confounding_logistic_regression,metadata,,full_safe_metadata,,,,,coswara,,full_safe_metadata,,,none,2862,0.964,0.928,0.890,0.858,0.922,0.849,0.077,0.064,0.257
confounding_controlled_audio_metrics,,,,,,,,,,quality_weighted_auprc,,,,unweighted,,,318,0.879,0.832,0.804,0.767,0.842,0.731,0.190,0.150,0.564
confounding_controlled_audio_metrics,,,,,,,,,,quality_weighted_auprc,,,,ipw_label_propensity,,,318,0.780,0.537,0.721,0.679,0.763,0.450,0.147,0.210,0.478
calibration_under_shift_summary,,,catboost,cough,,all,,,,,coughvid,test,,,coughvid_internal_beats_predictions,platt,1667,,,,,,,0.033,0.001,0.145
calibration_under_shift_summary,,,lightgbm,cough,,all,,,,,coughvid,test,,,coughvid_internal_beats_predictions,platt,1667,,,,,,,0.033,0.000,0.148
calibration_under_shift_summary,,,logistic_regression,cough,,all,,,,,coughvid,test,,,coughvid_internal_beats_predictions,platt,1667,,,,,,,0.032,0.005,0.140
calibration_under_shift_summary,,,random_forest,cough,,all,,,,,coughvid,test,,,coughvid_internal_beats_predictions,platt,1667,,,,,,,0.033,0.000,0.148
calibration_under_shift_summary,,,xgboost,cough,,all,,,,,coughvid,test,,,coughvid_internal_beats_predictions,platt,1667,,,,,,,0.032,0.002,0.137
calibration_under_shift_summary,,,catboost,cough,,all,,,,,coughvid,test,,,coughvid_internal_opensmile_egemaps_predictions,platt,1667,,,,,,,0.033,0.001,0.145
calibration_under_shift_summary,,,lightgbm,cough,,all,,,,,coughvid,test,,,coughvid_internal_opensmile_egemaps_predictions,platt,1667,,,,,,,0.033,0.000,0.147
calibration_under_shift_summary,,,logistic_regression,cough,,all,,,,,coughvid,test,,,coughvid_internal_opensmile_egemaps_predictions,platt,1667,,,,,,,0.032,0.001,0.136
calibration_under_shift_summary,,,random_forest,cough,,all,,,,,coughvid,test,,,coughvid_internal_opensmile_egemaps_predictions,platt,1667,,,,,,,0.033,0.000,0.148
calibration_under_shift_summary,,,xgboost,cough,,all,,,,,coughvid,test,,,coughvid_internal_opensmile_egemaps_predictions,platt,1667,,,,,,,0.032,0.002,0.140
calibration_under_shift_summary,,,catboost,cough,,all,,,,,coughvid,test,,,coughvid_internal_panns_predictions,platt,1667,,,,,,,0.033,0.000,0.148
calibration_under_shift_summary,,,lightgbm,cough,,all,,,,,coughvid,test,,,coughvid_internal_panns_predictions,platt,1667,,,,,,,0.033,0.000,0.149
calibration_under_shift_summary,,,logistic_regression,cough,,all,,,,,coughvid,test,,,coughvid_internal_panns_predictions,platt,1667,,,,,,,0.033,0.000,0.148
calibration_under_shift_summary,,,random_forest,cough,,all,,,,,coughvid,test,,,coughvid_internal_panns_predictions,platt,1667,,,,,,,0.033,0.000,0.149
calibration_under_shift_summary,,,xgboost,cough,,all,,,,,coughvid,test,,,coughvid_internal_panns_predictions,platt,1667,,,,,,,0.033,0.000,0.146
calibration_under_shift_summary,,,catboost,cough,,all,,,,,coughvid,test,,,coughvid_internal_predictions,platt,1667,,,,,,,0.032,0.001,0.142
calibration_under_shift_summary,,,lightgbm,cough,,all,,,,,coughvid,test,,,coughvid_internal_predictions,platt,1667,,,,,,,0.033,0.000,0.147
calibration_under_shift_summary,,,logistic_regression,cough,,all,,,,,coughvid,test,,,coughvid_internal_predictions,platt,1667,,,,,,,0.032,0.006,0.139
calibration_under_shift_summary,,,random_forest,cough,,all,,,,,coughvid,test,,,coughvid_internal_predictions,platt,1667,,,,,,,0.033,0.000,0.148
calibration_under_shift_summary,,,xgboost,cough,,all,,,,,coughvid,test,,,coughvid_internal_predictions,platt,1667,,,,,,,0.032,0.003,0.139
calibration_under_shift_summary,,,logistic_regression,cough,,,,,,,coughvid,external,,,cross_dataset_predictions,,8331,,,,,,,0.151,0.280,0.472
calibration_under_shift_summary,,,catboost,cough,,all,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.103,0.218,0.358
calibration_under_shift_summary,,,catboost,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.110,0.229,0.374
calibration_under_shift_summary,,,catboost,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.132,0.266,0.427
calibration_under_shift_summary,,,catboost,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.133,0.272,0.431
calibration_under_shift_summary,,,catboost,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.134,0.271,0.433
calibration_under_shift_summary,,,lightgbm,cough,,all,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.104,0.217,0.363
calibration_under_shift_summary,,,lightgbm,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.109,0.223,0.374
calibration_under_shift_summary,,,lightgbm,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.125,0.251,0.411
calibration_under_shift_summary,,,lightgbm,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.131,0.260,0.424
calibration_under_shift_summary,,,lightgbm,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.131,0.259,0.424
calibration_under_shift_summary,,,logistic_regression,cough,,all,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.090,0.200,0.328
calibration_under_shift_summary,,,logistic_regression,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.091,0.201,0.331
calibration_under_shift_summary,,,logistic_regression,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.141,0.274,0.443
calibration_under_shift_summary,,,logistic_regression,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.141,0.283,0.448
calibration_under_shift_summary,,,logistic_regression,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.142,0.282,0.448
calibration_under_shift_summary,,,random_forest,cough,,all,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.110,0.252,0.387
calibration_under_shift_summary,,,random_forest,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.115,0.260,0.397
calibration_under_shift_summary,,,random_forest,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.121,0.268,0.411
calibration_under_shift_summary,,,random_forest,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.123,0.274,0.415
calibration_under_shift_summary,,,random_forest,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.123,0.269,0.414
calibration_under_shift_summary,,,xgboost,cough,,all,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.103,0.216,0.357
calibration_under_shift_summary,,,xgboost,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.110,0.225,0.372
calibration_under_shift_summary,,,xgboost,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.133,0.268,0.430
calibration_under_shift_summary,,,xgboost,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.136,0.275,0.436
calibration_under_shift_summary,,,xgboost,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,,,,,,,0.139,0.276,0.443
calibration_under_shift_summary,,,catboost,cough,,all,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.102,0.223,0.358
calibration_under_shift_summary,,,catboost,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.095,0.214,0.343
calibration_under_shift_summary,,,catboost,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.103,0.221,0.359
calibration_under_shift_summary,,,catboost,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.107,0.245,0.377
calibration_under_shift_summary,,,catboost,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.106,0.236,0.370
calibration_under_shift_summary,,,lightgbm,cough,,all,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.099,0.223,0.356
calibration_under_shift_summary,,,lightgbm,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.093,0.214,0.343
calibration_under_shift_summary,,,lightgbm,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.102,0.225,0.361
calibration_under_shift_summary,,,lightgbm,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.108,0.248,0.381
calibration_under_shift_summary,,,lightgbm,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.106,0.239,0.374
calibration_under_shift_summary,,,logistic_regression,cough,,all,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.070,0.158,0.277
calibration_under_shift_summary,,,logistic_regression,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.080,0.180,0.303
calibration_under_shift_summary,,,logistic_regression,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.070,0.158,0.277
calibration_under_shift_summary,,,logistic_regression,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.123,0.271,0.414
calibration_under_shift_summary,,,logistic_regression,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.111,0.251,0.386
calibration_under_shift_summary,,,random_forest,cough,,all,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.098,0.239,0.362
calibration_under_shift_summary,,,random_forest,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.100,0.244,0.368
calibration_under_shift_summary,,,random_forest,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.097,0.238,0.361
calibration_under_shift_summary,,,random_forest,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.105,0.255,0.380
calibration_under_shift_summary,,,random_forest,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.106,0.256,0.383
calibration_under_shift_summary,,,xgboost,cough,,all,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.102,0.223,0.358
calibration_under_shift_summary,,,xgboost,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.093,0.214,0.341
calibration_under_shift_summary,,,xgboost,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.102,0.224,0.359
calibration_under_shift_summary,,,xgboost,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.107,0.245,0.377
calibration_under_shift_summary,,,xgboost,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,,,,,,,0.106,0.240,0.373
calibration_under_shift_summary,,,catboost,cough,,all,,,,,coughvid,external,,,external_model_grid_panns_predictions,platt,8331,,,,,,,0.111,0.258,0.391
calibration_under_shift_summary,,,catboost,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_panns_predictions,platt,8331,,,,,,,0.112,0.266,0.396
calibration_under_shift_summary,,,lightgbm,cough,,all,,,,,coughvid,external,,,external_model_grid_panns_predictions,platt,8331,,,,,,,0.110,0.253,0.388
calibration_under_shift_summary,,,lightgbm,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_panns_predictions,platt,8331,,,,,,,0.114,0.265,0.399
calibration_under_shift_summary,,,logistic_regression,cough,,all,,,,,coughvid,external,,,external_model_grid_panns_predictions,platt,8331,,,,,,,0.112,0.264,0.395
calibration_under_shift_summary,,,logistic_regression,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_panns_predictions,platt,8331,,,,,,,0.115,0.271,0.404
calibration_under_shift_summary,,,random_forest,cough,,all,,,,,coughvid,external,,,external_model_grid_panns_predictions,platt,8331,,,,,,,0.115,0.276,0.406
calibration_under_shift_summary,,,random_forest,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_panns_predictions,platt,8331,,,,,,,0.117,0.282,0.412
calibration_under_shift_summary,,,xgboost,cough,,all,,,,,coughvid,external,,,external_model_grid_panns_predictions,platt,8331,,,,,,,0.113,0.262,0.396
calibration_under_shift_summary,,,xgboost,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_panns_predictions,platt,8331,,,,,,,0.115,0.270,0.403
calibration_under_shift_summary,,,catboost,cough,,all,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.104,0.231,0.365
calibration_under_shift_summary,,,catboost,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.119,0.263,0.403
calibration_under_shift_summary,,,catboost,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.117,0.271,0.406
