prediction_source,evaluation_protocol,analysis_family,model_name,modality,submodality,modality_combination,fusion_method,feature_strategy,selected_feature_k,metric_split,split,threshold_probability,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit,net_benefit_minus_treat_all,net_benefit_minus_treat_none,prevalence,n_samples,n_positive,n_negative
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,xgboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.45,-0.08806102072216584,-0.755982584214489,0.0,0.6679215634923232,-0.08806102072216584,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,xgboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.5,-0.08078261913335734,-0.931580842635938,0.0,0.8507982235025806,-0.08078261913335734,0.03420957868203097,8331,285,8046
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.05,0.2725185446838573,0.26880960791239844,0.0,0.0037089367714588373,0.2725185446838573,0.3053691275167785,298,91,207
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.1,0.23900074571215513,0.22818791946308725,0.0,0.010812826249067875,0.23900074571215513,0.3053691275167785,298,91,207
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.15,0.2003553099091986,0.18278720884326882,0.0,0.017568101065929764,0.2003553099091986,0.3053691275167785,298,91,207
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.2,0.1778523489932886,0.13171140939597314,0.0,0.04614093959731547,0.1778523489932886,0.3053691275167785,298,91,207
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.25,0.1644295302013423,0.0738255033557047,0.0,0.09060402684563759,0.1644295302013423,0.3053691275167785,298,91,207
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.3,0.14093959731543623,0.007670182166826411,0.0,0.13326941514860982,0.14093959731543623,0.3053691275167785,298,91,207
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.35,0.13061435209086217,-0.06866288074341764,0.0,0.1992772328342798,0.13061435209086217,0.3053691275167785,298,91,207
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.4,0.10961968680089484,-0.15771812080536923,0.0,0.2673378076062641,0.10961968680089484,0.3053691275167785,298,91,207
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.45,0.08084197681513118,-0.2629652226967663,0.0,0.3438071995118975,0.08084197681513118,0.3053691275167785,298,91,207
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.5,0.06040268456375837,-0.389261744966443,0.0,0.44966442953020136,0.06040268456375837,0.3053691275167785,298,91,207
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.05,0.26054374346462184,0.275008713837574,0.0,-0.01446497037295219,0.26054374346462184,0.31125827814569534,302,94,208
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.1,0.22553348050036792,0.2347314201618837,0.0,-0.009197939661515775,0.22553348050036792,0.31125827814569534,302,94,208
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.15,0.18582002337358783,0.1897156213478769,0.0,-0.0038955979742890667,0.18582002337358783,0.31125827814569534,302,94,208
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.2,0.16887417218543047,0.1390728476821192,0.0,0.02980132450331127,0.16887417218543047,0.31125827814569534,302,94,208
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.25,0.1534216335540839,0.08167770419426049,0.0,0.0717439293598234,0.1534216335540839,0.31125827814569534,302,94,208
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.3,0.11873226111636706,0.016083254493850507,0.0,0.10264900662251655,0.11873226111636706,0.31125827814569534,302,94,208
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.35,0.11614875191034131,-0.05960264900662249,0.0,0.17575140091696378,0.11614875191034131,0.31125827814569534,302,94,208
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.4,0.11368653421633552,-0.14790286975717443,0.0,0.26158940397350994,0.11368653421633552,0.31125827814569534,302,94,208
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.45,0.09933774834437085,-0.2522576760987357,0.0,0.35159542444310654,0.09933774834437085,0.31125827814569534,302,94,208
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.5,0.08940397350993376,-0.37748344370860926,0.0,0.466887417218543,0.08940397350993376,0.31125827814569534,302,94,208
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.05,0.27329302987197723,0.27453769559032715,0.0,-0.0012446657183499132,0.27329302987197723,0.3108108108108108,296,92,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.1,0.24286786786786785,0.23423423423423423,0.0,0.00863363363363362,0.24286786786786785,0.3108108108108108,296,92,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.15,0.21124801271860097,0.18918918918918914,0.0,0.022058823529411825,0.21124801271860097,0.3108108108108108,296,92,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.2,0.19172297297297297,0.1385135135135135,0.0,0.053209459459459485,0.19172297297297297,0.3108108108108108,296,92,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.25,0.1711711711711712,0.08108108108108106,0.0,0.09009009009009014,0.1711711711711712,0.3108108108108108,296,92,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.3,0.1505791505791506,0.015444015444015358,0.0,0.13513513513513525,0.1505791505791506,0.3108108108108108,296,92,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.35,0.13721413721413722,-0.060291060291060294,0.0,0.19750519750519752,0.13721413721413722,0.3108108108108108,296,92,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.4,0.12162162162162161,-0.14864864864864874,0.0,0.27027027027027034,0.12162162162162161,0.3108108108108108,296,92,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.45,0.085995085995086,-0.25307125307125306,0.0,0.33906633906633904,0.085995085995086,0.3108108108108108,296,92,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,test,test,0.5,0.08108108108108107,-0.37837837837837845,0.0,0.45945945945945954,0.08108108108108107,0.3108108108108108,296,92,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.05,0.25589225589225584,0.27698032961190855,0.0,-0.02108807371965271,0.25589225589225584,0.31313131313131315,297,93,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.1,0.21586232697343807,0.2368125701459035,0.0,-0.020950243172465438,0.21586232697343807,0.31313131313131315,297,93,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.15,0.1845910081204199,0.19191919191919193,0.0,-0.007328183798772037,0.1845910081204199,0.31313131313131315,297,93,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.2,0.1691919191919192,0.14141414141414144,0.0,0.027777777777777762,0.1691919191919192,0.31313131313131315,297,93,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.25,0.13580246913580246,0.08417508417508421,0.0,0.05162738496071825,0.13580246913580246,0.31313131313131315,297,93,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.3,0.12265512265512266,0.018759018759018753,0.0,0.1038961038961039,0.12265512265512266,0.31313131313131315,297,93,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.35,0.11706811706811708,-0.05672105672105665,0.0,0.17378917378917375,0.11706811706811708,0.31313131313131315,297,93,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.4,0.101010101010101,-0.1447811447811448,0.0,0.24579124579124578,0.101010101010101,0.31313131313131315,297,93,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.45,0.08570554025099482,-0.24885215794306692,0.0,0.3345576981940617,0.08570554025099482,0.31313131313131315,297,93,204
