auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,evaluation_protocol,analysis_family,model_name,modality,metric_split,threshold_source,skipped,n_features,n_participants,n_ensemble_models,ensemble_members,modality_combination,fusion_method,source_run,feature_strategy,n_candidate_features,n_selected_features,selected_features,gated_stack_source_key,validation_rank,validation_floor,selected,reject_reason,has_validation_predictions,has_test_predictions,has_predictions,available_validation_rank
0.8168220668220668,0.7766384744070196,0.7621649184149184,0.6818181818181818,0.6060606060606061,0.9182692307692308,0.1527756882053113,0.1077364972123014,0.4827171919650821,0.4538050000856929,307.0,clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,validation,validation_balanced_accuracy,False,,307.0,,,cough+breath,validation_weighted_auprc,strong,,,,,strong||clean_internal_protocol||strong_multimodal_fusion||strong_baseline_selected_fusion||multimodal||||cough+breath||validation_weighted_auprc,21,0.8213430290397461,False,below_validation_gate,True,True,True,21.0
0.8158022533022532,0.7749574618825334,0.7597610722610723,0.6779661016949152,0.6060606060606061,0.9134615384615384,0.152830258982924,0.099604752145183,0.4827712276729543,0.4457280027238213,307.0,clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,validation,validation_balanced_accuracy,False,,307.0,,,cough+breath,uniform_mean,strong,,,,,strong||clean_internal_protocol||strong_multimodal_fusion||strong_baseline_selected_fusion||multimodal||||cough+breath||uniform_mean,22,0.8213430290397461,False,below_validation_gate,True,True,True,22.0
0.8126942501942502,0.7490155600504523,0.7732614607614607,0.6877828054298643,0.7676767676767676,0.7788461538461539,0.1554954017957679,0.0839142422248915,0.4888323203637483,0.417835591151445,307.0,clean_internal_protocol,strong_feature_level_fusion,optuna_validation_search,multimodal,validation,validation_balanced_accuracy,False,4354.0,307.0,,,cough+breath,,strong,,,,,strong||clean_internal_protocol||strong_feature_level_fusion||optuna_validation_search||multimodal||||cough+breath||,23,0.8213430290397461,False,below_validation_gate,True,True,True,23.0
0.8091006216006216,0.7553116260334254,0.7765879953379953,0.7058823529411765,0.6060606060606061,0.9471153846153846,0.1498415299746369,0.107675052634189,0.5746727701716839,0.3503294148575964,307.0,clean_internal_protocol,strong_feature_level_fusion,lightgbm_smote_f80,multimodal,validation,validation_balanced_accuracy,False,6531.0,307.0,,,cough+breath+speech,,strong,,,,,strong||clean_internal_protocol||strong_feature_level_fusion||lightgbm_smote_f80||multimodal||||cough+breath+speech||,24,0.8213430290397461,False,below_validation_gate,True,True,True,24.0
0.8083282012411768,0.7406758541834181,0.7574494291534417,0.6694214876033058,0.801980198019802,0.7129186602870813,0.1617044105848335,0.1102078328296122,0.5546322160403206,0.095687964597636,310.0,clean_internal_protocol,strong_feature_level_fusion,lightgbm_smote_f80,multimodal,validation,validation_balanced_accuracy,False,4354.0,310.0,,,cough+speech,,strong,,,,,strong||clean_internal_protocol||strong_feature_level_fusion||lightgbm_smote_f80||multimodal||||cough+speech||,25,0.8213430290397461,False,below_validation_gate,True,True,True,25.0
0.8059279525763794,0.7006432926323869,0.7382352941176471,0.6448598130841121,0.6764705882352942,0.8,0.1724903856827799,0.0849908274567956,0.5267826489371178,0.3401064918481005,317.0,sota_swarm_internal_protocol,sota_swarm_feature_search,binary_pso_lightgbm,speech,validation,validation_balanced_accuracy,False,,317.0,,,,,swarm,binary_pso_validation_selected,256.0,64.0,mel_band_02_q75;mfcc_17_skew;mel_band_05_q75;mel_band_01_q75;mel_band_05_mean;mfcc_15_skew;mel_band_03_q75;mel_band_41_q75;mfcc_27_kurtosis;mfcc_39_kurtosis;mel_band_39_q75;mel_global_kurtosis;rms_skew;mel_band_01_mean;delta2_mfcc_31_kurtosis;mel_global_q75;delta2_mfcc_22_kurtosis;mfcc_07_skew;spectral_flatness_skew;mel_band_49_q75;mel_band_43_q75;tempogram_global_skew;mel_band_01_q25;delta2_mfcc_36_kurtosis;mfcc_36_kurtosis;mel_band_45_q75;delta_mfcc_34_kurtosis;mfcc_40_kurtosis;delta_mfcc_33_kurtosis;delta2_mfcc_25_kurtosis;spectral_contrast_07_skew;mel_band_62_q75;mfcc_24_kurtosis;delta2_mfcc_19_kurtosis;delta_mfcc_35_kurtosis;delta_mfcc_29_kurtosis;mel_band_08_q75;delta_mfcc_23_kurtosis;mfcc_05_kurtosis;mel_band_60_q75;mel_band_61_skew;mel_band_15_skew;delta_mfcc_37_kurtosis;mel_band_03_q25;mel_band_09_q75;delta_mfcc_24_kurtosis;mel_band_02_min;mel_band_58_q75;mfcc_03_kurtosis;mfcc_22_kurtosis;mel_band_50_q75;mel_band_42_mean;mel_band_41_median;delta_mfcc_28_kurtosis;mel_band_39_median;mel_band_62_skew;mel_band_36_q75;mel_band_03_min;mel_band_41_skew;mel_band_01_skew;mfcc_39_q25;mfcc_18_kurtosis;mel_band_46_skew;mel_band_05_min,swarm||sota_swarm_internal_protocol||sota_swarm_feature_search||binary_pso_lightgbm||speech||binary_pso_validation_selected||||,26,0.8213430290397461,False,below_validation_gate,True,True,True,26.0
0.8054098679098679,0.692646278026594,0.7576000388500388,0.6740331491712708,0.6161616161616161,0.8990384615384616,0.1551200287300251,0.0630159556479514,0.4879066043283104,0.3983128827156217,307.0,clean_internal_protocol,strong_feature_level_fusion,svc_rbf_f60,multimodal,validation,validation_balanced_accuracy,False,6531.0,307.0,,,cough+breath+speech,,strong,,,,,strong||clean_internal_protocol||strong_feature_level_fusion||svc_rbf_f60||multimodal||||cough+breath+speech||,27,0.8213430290397461,False,below_validation_gate,True,True,True,27.0
0.8053276756247053,0.7196502800269429,0.7615747289014616,0.6757990867579908,0.7326732673267327,0.7904761904761904,0.1759237499779978,0.1489459135604756,0.5376814294847898,0.3967488095238095,311.0,clean_internal_protocol,strong_audio_modality,random_forest_smote_f80,speech,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,,strong,,,,,strong||clean_internal_protocol||strong_audio_modality||random_forest_smote_f80||speech||||||,28,0.8213430290397461,False,below_validation_gate,True,True,True,28.0
0.8051390853371052,0.7487064418777396,0.7413248467703913,0.650887573964497,0.5445544554455446,0.938095238095238,0.1608232456199018,0.1038323088692939,0.498653782772724,0.5361823331869927,311.0,clean_internal_protocol,strong_audio_modality,top_5_validation_ensemble,cough,validation,validation_balanced_accuracy,False,,311.0,5.0,"lightgbm_smote_f80,catboost_smote_f80,xgboost_smote_f80,svc_rbf_f60,random_forest_smote_f80",,,strong,,,,,strong||clean_internal_protocol||strong_audio_modality||top_5_validation_ensemble||cough||||||,29,0.8213430290397461,False,below_validation_gate,True,True,True,29.0
0.8050360059929438,0.7383916058750948,0.7477405635300372,0.6570048309178744,0.6868686868686869,0.8086124401913876,0.1619534818755553,0.1136923565903827,0.5952045083177674,0.1498048372247651,308.0,clean_internal_protocol,strong_feature_level_fusion,lightgbm_smote_f80,multimodal,validation,validation_balanced_accuracy,False,4354.0,308.0,,,breath+speech,,strong,,,,,strong||clean_internal_protocol||strong_feature_level_fusion||lightgbm_smote_f80||multimodal||||breath+speech||,30,0.8213430290397461,False,below_validation_gate,True,True,True,30.0
0.8044318717586044,0.7158683682699171,0.7626355492692127,0.6802030456852792,0.6633663366336634,0.861904761904762,0.1734675606740412,0.1022248929589964,0.52884519910951,0.3489936334151239,311.0,clean_internal_protocol,strong_audio_modality,random_forest_f80,speech,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,,strong,,,,,strong||clean_internal_protocol||strong_audio_modality||random_forest_f80||speech||||||,31,0.8213430290397461,False,below_validation_gate,True,True,True,31.0
0.804031117397454,0.7366509705379727,0.7632013201320131,0.6796116504854369,0.693069306930693,0.8333333333333334,0.1770337139084731,0.1443009157858491,0.5398368007088953,0.4102916666666667,311.0,clean_internal_protocol,strong_audio_modality,extra_trees_smote_f100,speech,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,,strong,,,,,strong||clean_internal_protocol||strong_audio_modality||extra_trees_smote_f100||speech||||||,32,0.8213430290397461,False,below_validation_gate,True,True,True,32.0
0.8032477888937218,0.6762348945982377,0.7466772993088782,0.6547085201793722,0.7373737373737373,0.7559808612440191,0.2154808956463514,0.206812977182286,1.4986016092010748,0.2424585666436295,308.0,clean_internal_protocol,strong_feature_level_fusion,optuna_validation_search,multimodal,validation,validation_balanced_accuracy,False,4354.0,308.0,,,breath+speech,,strong,,,,,strong||clean_internal_protocol||strong_feature_level_fusion||optuna_validation_search||multimodal||||breath+speech||,33,0.8213430290397461,False,below_validation_gate,True,True,True,33.0
0.8031117397454031,0.7415143417025136,0.7407590759075908,0.65,0.5148514851485149,0.9666666666666668,0.1557206734541507,0.0911447270531055,0.4928253202142135,0.6083260489854785,311.0,clean_internal_protocol,strong_audio_modality,lightgbm_smote_f80,cough,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,,strong,,,,,strong||clean_internal_protocol||strong_audio_modality||lightgbm_smote_f80||cough||||||,34,0.8213430290397461,False,below_validation_gate,True,True,True,34.0
0.8028846153846154,0.6781592007571979,0.7482517482517483,0.6575342465753424,0.7272727272727273,0.7692307692307693,0.192165831706446,0.1858507587041285,1.1345464910561955,0.1648836209331121,307.0,clean_internal_protocol,strong_feature_level_fusion,logistic_smote_f80,multimodal,validation,validation_balanced_accuracy,False,6531.0,307.0,,,cough+breath+speech,,strong,,,,,strong||clean_internal_protocol||strong_feature_level_fusion||logistic_smote_f80||multimodal||||cough+breath+speech||,35,0.8213430290397461,False,below_validation_gate,True,True,True,35.0
0.8025486759202236,0.6853168689333083,0.7502723956606188,0.6612244897959184,0.801980198019802,0.6985645933014354,0.1702570538064564,0.0963592939794008,0.5153311367575943,0.4074146544111664,310.0,clean_internal_protocol,strong_feature_level_fusion,optuna_validation_search,multimodal,validation,validation_balanced_accuracy,False,4354.0,310.0,,,cough+speech,,strong,,,,,strong||clean_internal_protocol||strong_feature_level_fusion||optuna_validation_search||multimodal||||cough+speech||,36,0.8213430290397461,False,below_validation_gate,True,True,True,36.0
0.8008015087223008,0.7267024004161639,0.756058462989156,0.6698564593301436,0.693069306930693,0.819047619047619,0.1743067526294482,0.1327636436334298,0.5329327667908778,0.3773673934892411,311.0,clean_internal_protocol,strong_audio_modality,optuna_validation_search,speech,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,,strong,,,,,strong||clean_internal_protocol||strong_audio_modality||optuna_validation_search||speech||||||,37,0.8213430290397461,False,below_validation_gate,True,True,True,37.0
0.8004564879564879,0.738889373286284,0.7496600621600622,0.6628571428571428,0.5858585858585859,0.9134615384615384,0.150825096988169,0.085473537080275,0.5041244963731731,0.4164201319217682,307.0,clean_internal_protocol,strong_feature_level_fusion,xgboost_smote_f80,multimodal,validation,validation_balanced_accuracy,False,6531.0,307.0,,,cough+breath+speech,,strong,,,,,strong||clean_internal_protocol||strong_feature_level_fusion||xgboost_smote_f80||multimodal||||cough+breath+speech||,38,0.8213430290397461,False,below_validation_gate,True,True,True,38.0
0.8004007543611504,0.7434051138717988,0.7222772277227723,0.6214689265536724,0.5445544554455446,0.9,0.1615756818779909,0.0803279317476669,0.4982856424128446,0.5601264347270762,311.0,clean_internal_protocol,strong_audio_modality,catboost_smote_f80,cough,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,,strong,,,,,strong||clean_internal_protocol||strong_audio_modality||catboost_smote_f80||cough||||||,39,0.8213430290397461,False,below_validation_gate,True,True,True,39.0
0.8001885902876001,0.7101428115404161,0.7450966525223951,0.6550218340611353,0.7425742574257426,0.7476190476190476,0.1689013045062531,0.1105939223748994,0.5151216685343896,0.4507867465017672,311.0,clean_internal_protocol,strong_audio_modality,logistic_l2_f80,speech,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,,strong,,,,,strong||clean_internal_protocol||strong_audio_modality||logistic_l2_f80||speech||||||,40,0.8213430290397461,False,below_validation_gate,True,True,True,40.0
0.8000942951438,0.7121130312538916,0.7562470532767562,0.6698113207547169,0.7029702970297029,0.8095238095238095,0.1764569085152237,0.1024494199282089,0.5356996856188491,0.3463645563279365,311.0,clean_internal_protocol,strong_audio_modality,extra_trees_f100,speech,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,,strong,,,,,strong||clean_internal_protocol||strong_audio_modality||extra_trees_f100||speech||||||,41,0.8213430290397461,False,below_validation_gate,True,True,True,41.0
0.7996309246309246,0.6792192114900071,0.7446095571095571,0.6551724137931034,0.5757575757575758,0.9134615384615384,0.1945856203990162,0.1872242127270046,1.1155223399146357,0.8204471828806857,307.0,clean_internal_protocol,strong_feature_level_fusion,logistic_l2_f80,multimodal,validation,validation_balanced_accuracy,False,6531.0,307.0,,,cough+breath+speech,,strong,,,,,strong||clean_internal_protocol||strong_feature_level_fusion||logistic_l2_f80||multimodal||||cough+breath+speech||,42,0.8213430290397461,False,below_validation_gate,True,True,True,42.0
