evaluation_protocol,analysis_family,model_name,modality,submodality,modality_combination,fusion_method,feature_strategy,selected_feature_k,metric_split,audit_model,specification_rank,n_specifications_in_protocol,auroc,auprc,balanced_accuracy,f1,n_samples,n_participants,table_source
clean_internal_protocol,strong_audio_modality,extra_trees_smote_f100,cough,,,,,,test,,82,95,0.8211632253065317,0.7513946751210691,0.735607821687406,0.6448979591836734,316.0,316.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,logistic_l2_f80,multimodal,,cough+breath+speech,,,,test,,83,95,0.7995401435878184,0.666238115432515,0.7069823096053681,0.6030150753768844,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,logistic_l2_f80,cough,,,,,,test,,84,95,0.7994894935958794,0.691681125782679,0.703131409818132,0.5909090909090909,316.0,316.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,logistic_smote_f80,multimodal,,cough+breath+speech,,,,test,,85,95,0.7982731922481348,0.6682931168421052,0.716836375580686,0.6212765957446809,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,logistic_smote_f80,multimodal,,cough+speech,,,,test,,86,95,0.7969848316685164,0.6677756091839148,0.6896966333703293,0.5985401459854015,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,logistic_smote_f80,cough,,,,,,test,,87,95,0.7967546378595196,0.6901959023642109,0.688887369524591,0.5698324022346368,316.0,316.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,logistic_l2_f80,multimodal,,cough+speech,,,,test,,88,95,0.794903810580836,0.665074473649707,0.6985756566777654,0.6053639846743295,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,logistic_l2_f80,breath,,,,,,test,,89,95,0.7819435972033222,0.6383972320464719,0.7470085871146357,0.6572769953051644,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,logistic_l2_f80,multimodal,,cough+breath,,,,test,,90,95,0.7681009807141852,0.6209761956316366,0.7019848904321712,0.603448275862069,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,logistic_smote_f80,multimodal,,cough+breath,,,,test,,91,95,0.7669748017455774,0.6237354452782877,0.6994040636291117,0.6,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,logistic_smote_f80,breath,,,,,,test,,92,95,0.7637839613345221,0.6274328167201121,0.7108300877481113,0.6118721461187214,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,logistic_l2_f80,multimodal,,breath+speech,,,,test,,93,95,0.7579184458730234,0.6073892920519599,0.6757543052883488,0.5631067961165048,312.0,312.0,strong_baseline_metrics
