evaluation_protocol,analysis_family,model_name,modality,base_feature_set,audit_model,ablation_name,removed_features,skipped,auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,test_positive_prevalence,auprc_lift_over_prevalence,train_rows,validation_rows,test_rows,n_features,skip_reason
temporal_early_to_late,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,full_safe_metadata,full_safe_metadata_no_recording_year_month,full_safe_metadata_no_recording_year_month,recording_year;recording_month,False,0.7787753599387232,0.9346816950694226,0.7230073765246715,0.8194369732831271,0.7445421961550994,0.7014725568942436,0.20105373901839468,0.17723883872192406,0.9208621678244296,0.5488069315866325,3816.0,0.8042452830188679,0.13043641205055467,11410.0,3798.0,3816.0,57.0,
time_stratified_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,demographic_protocol_only,demographic_protocol_full,demographic_protocol_full,none,False,0.9167091880270174,0.7376228638960333,0.8518574448807007,0.7783383787420114,0.898989898989899,0.8047249907715024,0.1134425123380141,0.09513097935976515,0.3876001481695916,0.4593104156925374,3996.0,0.32207207207207206,0.4155507918239612,11320.0,3708.0,3996.0,47.0,
time_stratified_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,demographic_protocol_only,demographic_protocol_no_recording_year,demographic_protocol_no_recording_year,recording_year,False,0.6805521495443976,0.5083871659139565,0.6315157710506547,0.5215374420145792,0.6114996114996115,0.651531930601698,0.22367100843389193,0.15681419428711937,0.6347374251840355,0.5014782323325087,3996.0,0.32207207207207206,0.18631509384188444,11320.0,3708.0,3996.0,46.0,
time_stratified_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,demographic_protocol_only,demographic_protocol_no_recording_month,demographic_protocol_no_recording_month,recording_month,False,0.9010502847712151,0.8301738941994343,0.8548621920714944,0.7894923677671282,0.864024864024864,0.8456995201181248,0.11742255739794152,0.09786738993928161,0.39061759618221437,0.5479164607190409,3996.0,0.32207207207207206,0.5081018221273623,11320.0,3708.0,3996.0,46.0,
time_stratified_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,demographic_protocol_only,demographic_protocol_no_recording_year_month,demographic_protocol_no_recording_year_month,recording_year;recording_month,False,0.6780377245493524,0.5073918735397729,0.6311040380807823,0.5089188205314888,0.5431235431235432,0.7190845330380214,0.22415671187173478,0.1568786734476638,0.6356713484186831,0.530299280047699,3996.0,0.32207207207207206,0.18531980146770083,11320.0,3708.0,3996.0,45.0,
time_stratified_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,recording_date_only,recording_year_only,recording_year_only,recording_month,False,0.8766582254954349,0.735046035046035,0.8540064586576215,0.7861635220125787,0.8741258741258742,0.8338870431893688,0.12155286283022768,0.10100767302722422,0.4085564598595675,0.5,3996.0,0.32207207207207206,0.412973962973963,11320.0,3708.0,3996.0,1.0,
time_stratified_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,recording_date_only,recording_month_only,recording_month_only,recording_year,False,0.535174128197384,0.5276757975824635,0.6740352670585229,0.5263157894736842,0.38461538461538464,0.9634551495016611,0.24994665282759906,0.17790836969797758,0.6930404858692009,0.5005438962015683,3996.0,0.32207207207207206,0.20560372551039147,11320.0,3708.0,3996.0,1.0,
time_stratified_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,recording_date_only,recording_year_month_only,recording_year_month_only,none,False,0.9102525381595149,0.7400613374478393,0.8436795762377158,0.753315649867374,0.993006993006993,0.6943521594684385,0.11798389257182716,0.10376199091716334,0.3953134631498276,0.2688100867780272,3996.0,0.32207207207207206,0.41798926537576725,11320.0,3708.0,3996.0,2.0,
time_stratified_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,full_safe_metadata,full_safe_metadata_full,full_safe_metadata_full,none,False,0.9627472728247922,0.9156212343750383,0.8928487533138696,0.8328690807799443,0.9292929292929293,0.8564045773348099,0.07856246253055266,0.06890904301465851,0.2963846377319847,0.38518598356592154,3996.0,0.32207207207207206,0.5935491623029663,11320.0,3708.0,3996.0,65.0,
time_stratified_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,full_safe_metadata,full_safe_metadata_no_recording_year,full_safe_metadata_no_recording_year,recording_year,False,0.9271066286570162,0.8896082449313562,0.8930668814389744,0.8475084301236419,0.8787878787878788,0.9073458840900701,0.08532957388582232,0.07044307901831293,0.3610543725337049,0.2952131263966788,3996.0,0.32207207207207206,0.567536172859284,11320.0,3708.0,3996.0,64.0,
time_stratified_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,full_safe_metadata,full_safe_metadata_no_recording_month,full_safe_metadata_no_recording_month,recording_month,False,0.9545619468100087,0.9111171777268525,0.895991605293931,0.8552882779686903,0.8702408702408703,0.9217423403469915,0.07139750930249988,0.055362630283946716,0.3050676364195268,0.4900914043874829,3996.0,0.32207207207207206,0.5890451056547805,11320.0,3708.0,3996.0,64.0,
time_stratified_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,full_safe_metadata,full_safe_metadata_no_recording_year_month,full_safe_metadata_no_recording_year_month,recording_year;recording_month,False,0.9277574277574278,0.8890837943917518,0.8913579960091588,0.8474062854979174,0.8694638694638694,0.9132521225544481,0.0842595779035232,0.06937430764551955,0.35984412823650297,0.326643690346274,3996.0,0.32207207207207206,0.5670117223196798,11320.0,3708.0,3996.0,63.0,
existing_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,demographic_protocol_only,demographic_protocol_full,demographic_protocol_full,none,False,0.9137823380692351,0.7370032811410646,0.8271292742279421,0.7507029053420806,0.8640776699029126,0.7901808785529716,0.12219546380847697,0.11682221029285836,0.42266038761393143,0.4438560962703411,2862.0,0.3238993710691824,0.41310391007188224,13309.0,2853.0,2862.0,45.0,
existing_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,demographic_protocol_only,demographic_protocol_no_recording_year,demographic_protocol_no_recording_year,recording_year,False,0.6829468514197947,0.5138371592775416,0.6081232282180578,0.5123355263157895,0.6720604099244876,0.5441860465116279,0.2229834989304053,0.16170373794425308,0.6466623515610533,0.4800506014360445,2862.0,0.3238993710691824,0.18993778820835922,13309.0,2853.0,2862.0,44.0,
existing_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,demographic_protocol_only,demographic_protocol_no_recording_month,demographic_protocol_no_recording_month,recording_month,False,0.8524494841797469,0.7066633655403352,0.80924713378992,0.7358870967741935,0.7874865156418555,0.8310077519379845,0.14250213325416525,0.08687999452862491,0.48639465636291074,0.5784098086146678,2862.0,0.3238993710691824,0.3827639944711528,13309.0,2853.0,2862.0,44.0,
existing_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,demographic_protocol_only,demographic_protocol_no_recording_year_month,demographic_protocol_no_recording_year_month,recording_year;recording_month,False,0.6924097349400278,0.5255611442296643,0.6222247309400165,0.5269214960953555,0.6914778856526429,0.5529715762273901,0.2215059095777379,0.16435853234052264,0.6439977399629828,0.4821510193178937,2862.0,0.3238993710691824,0.2016617731604819,13309.0,2853.0,2862.0,43.0,
existing_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,recording_date_only,recording_year_only,recording_year_only,recording_month,False,0.810092571686611,0.6249713232208367,0.7934070896364868,0.7130434782608696,0.7961165048543689,0.7906976744186046,0.15743207306449972,0.09487867082940346,0.5083524003918667,0.5,2862.0,0.3238993710691824,0.30107195215165433,13309.0,2853.0,2862.0,1.0,
existing_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,recording_date_only,recording_month_only,recording_month_only,recording_year,False,0.40115150146759987,0.43833985936286957,0.6204560848950101,0.4266666666666667,0.3106796116504854,0.9302325581395349,0.2516334717196201,0.24843088227733479,0.6964113609517154,0.5099199163481348,2862.0,0.3238993710691824,0.11444048829368719,13309.0,2853.0,2862.0,1.0,
existing_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,recording_date_only,recording_year_month_only,recording_year_month_only,none,False,0.8993226461955295,0.718869208442419,0.8307292842628133,0.749003984063745,0.912621359223301,0.7488372093023256,0.130206444074604,0.13812017130891074,0.420648123609562,0.33952517883163297,2862.0,0.3238993710691824,0.3949698373732366,13309.0,2853.0,2862.0,2.0,
existing_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,full_safe_metadata,full_safe_metadata_full,full_safe_metadata_full,none,False,0.9638209444486256,0.9276594487348628,0.8897845011414667,0.8489054991991457,0.8576051779935275,0.9219638242894057,0.07663066010035487,0.06407680552539795,0.25686628308004994,0.5710383807240185,2862.0,0.3238993710691824,0.6037600776656804,13309.0,2853.0,2862.0,63.0,
existing_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,full_safe_metadata,full_safe_metadata_no_recording_year,full_safe_metadata_no_recording_year,recording_year,False,0.961287139476347,0.9433947549396283,0.9188204008931036,0.8825065274151436,0.9115426105717368,0.9260981912144702,0.06723655433295368,0.08292049397162182,0.2485100947832599,0.34853642987489314,2862.0,0.3238993710691824,0.619495383870446,13309.0,2853.0,2862.0,62.0,
existing_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,full_safe_metadata,full_safe_metadata_no_recording_month,full_safe_metadata_no_recording_month,recording_month,False,0.9477342097120829,0.9192466724130711,0.8935024209126715,0.8579205225911812,0.8500539374325782,0.9369509043927648,0.07955284887388563,0.053244910462151754,0.28059179648313504,0.464249139305732,2862.0,0.3238993710691824,0.5953473013438888,13309.0,2853.0,2862.0,62.0,
existing_participant_split,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,full_safe_metadata,full_safe_metadata_no_recording_year_month,full_safe_metadata_no_recording_year_month,recording_year;recording_month,False,0.9579148652679172,0.9398759786381646,0.915135094453225,0.8770833333333333,0.9083063646170443,0.9219638242894057,0.06877722748450339,0.07730156459246676,0.25330163692834873,0.34218598178949494,2862.0,0.3238993710691824,0.6159766075689823,13309.0,2853.0,2862.0,61.0,
