table_source,model_name,modality,feature_strategy,fusion_method,dataset,calibration_method,split,threshold,sensitivity,specificity,precision,npv,f1,balanced_accuracy,tp,fp,tn,fn,n_samples,n_positive,n_negative,operating_constraint,target_specificity,target_sensitivity
coughvid_internal_opensmile_egemaps_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0614006235865599,0.3333333333333333,0.9006211180124224,0.10614525139664804,0.9744623655913979,0.16101694915254236,0.6169772256728778,19.0,160.0,1450.0,38.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_opensmile_egemaps_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0796031636058888,0.19298245614035087,0.962111801242236,0.1527777777777778,0.9711598746081505,0.17054263565891473,0.5775471286912934,11.0,61.0,1549.0,46.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_opensmile_egemaps_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.030655257524285,0.8070175438596491,0.6291925465838509,0.07153965785381027,0.9892578125,0.13142857142857145,0.71810504522175,46.0,597.0,1013.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_opensmile_egemaps_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0206270038295924,0.9122807017543859,0.3167701863354037,0.04513888888888889,0.9902912621359223,0.08602150537634409,0.6145254440448948,52.0,1100.0,510.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_opensmile_egemaps_predictions,random_forest,cough,all,,coughvid,platt,test,0.034885034885718,0.5263157894736842,0.8136645962732919,0.09090909090909091,0.9798055347793567,0.15503875968992248,0.669990192873488,30.0,300.0,1310.0,27.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_opensmile_egemaps_predictions,random_forest,cough,all,,coughvid,platt,test,0.035953092405096,0.3508771929824561,0.9192546583850931,0.13333333333333333,0.975609756097561,0.1932367149758454,0.6350659256837746,20.0,130.0,1480.0,37.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_opensmile_egemaps_predictions,random_forest,cough,all,,coughvid,platt,test,0.0372253586047738,0.19298245614035087,0.9590062111801242,0.14285714285714285,0.9710691823899371,0.16417910447761194,0.5759943336602376,11.0,66.0,1544.0,46.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_opensmile_egemaps_predictions,random_forest,cough,all,,coughvid,platt,test,0.0337364928887255,0.8070175438596491,0.5341614906832298,0.05778894472361809,0.9873708381171068,0.1078546307151231,0.6705895172714395,46.0,750.0,860.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_opensmile_egemaps_predictions,random_forest,cough,all,,coughvid,platt,test,0.0333667107198068,0.9122807017543859,0.33229813664596275,0.04614019520851819,0.9907407407407407,0.08783783783783784,0.6222894192001743,52.0,1075.0,535.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_opensmile_egemaps_predictions,xgboost,cough,all,,coughvid,platt,test,0.0402650490246677,0.543859649122807,0.8422360248447205,0.10877192982456141,0.9811866859623734,0.18128654970760236,0.6930478369837638,31.0,254.0,1356.0,26.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_opensmile_egemaps_predictions,xgboost,cough,all,,coughvid,platt,test,0.0476318217776348,0.40350877192982454,0.9055900621118013,0.13142857142857142,0.9772117962466488,0.1982758620689655,0.6545494170208129,23.0,152.0,1458.0,34.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_opensmile_egemaps_predictions,xgboost,cough,all,,coughvid,platt,test,0.0601383023732021,0.22807017543859648,0.9503105590062112,0.13978494623655913,0.9720457433290979,0.1733333333333333,0.5891903672224038,13.0,80.0,1530.0,44.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_opensmile_egemaps_predictions,xgboost,cough,all,,coughvid,platt,test,0.0283786239059144,0.8070175438596491,0.5347826086956522,0.05786163522012579,0.9873853211009175,0.107981220657277,0.6709000762776507,46.0,749.0,861.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_opensmile_egemaps_predictions,xgboost,cough,all,,coughvid,platt,test,0.0261715875210955,0.9122807017543859,0.3093167701863354,0.044673539518900345,0.9900596421471173,0.08517608517608517,0.6107987359703606,52.0,1112.0,498.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_panns_predictions,catboost,cough,all,,coughvid,platt,test,0.0352057679601683,0.3508771929824561,0.8105590062111802,0.06153846153846154,0.9724292101341282,0.10471204188481675,0.5807180995968182,20.0,305.0,1305.0,37.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_panns_predictions,catboost,cough,all,,coughvid,platt,test,0.0373103369161815,0.19298245614035087,0.9037267080745341,0.06626506024096386,0.9693537641572285,0.0986547085201794,0.5483545821074425,11.0,155.0,1455.0,46.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_panns_predictions,catboost,cough,all,,coughvid,platt,test,0.0396702563206051,0.10526315789473684,0.9521739130434783,0.07228915662650602,0.9678030303030303,0.0857142857142857,0.5287185354691075,6.0,77.0,1533.0,51.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_panns_predictions,catboost,cough,all,,coughvid,platt,test,0.0328189408902223,0.8070175438596491,0.3701863354037267,0.04339622641509434,0.9818780889621087,0.08236347358997313,0.5886019396316879,46.0,1014.0,596.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_panns_predictions,catboost,cough,all,,coughvid,platt,test,0.0325869620719134,0.9122807017543859,0.2422360248447205,0.040880503144654086,0.9873417721518988,0.07825432656132429,0.5772583632995532,52.0,1220.0,390.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_panns_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0341850072433494,0.38596491228070173,0.8149068322981367,0.06875,0.9740163325909429,0.11671087533156499,0.6004358722894192,22.0,298.0,1312.0,35.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_panns_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0342712630631537,0.21052631578947367,0.9099378881987578,0.07643312101910828,0.9701986754966887,0.11214953271028039,0.5602321019941157,12.0,145.0,1465.0,45.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_panns_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0344665478833863,0.14035087719298245,0.9639751552795031,0.12121212121212122,0.9693941286695815,0.13008130081300812,0.5521630162362428,8.0,58.0,1552.0,49.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_panns_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0341375951203569,0.8070175438596491,0.3869565217391304,0.044530493707647625,0.9826498422712934,0.08440366972477063,0.5969870327993898,46.0,987.0,623.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_panns_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0341349771534822,0.9122807017543859,0.2503105590062112,0.04130262112787927,0.9877450980392157,0.07902735562310029,0.5812956303802985,52.0,1207.0,403.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_panns_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0333375726967713,0.2631578947368421,0.8037267080745342,0.045317220543806644,0.968562874251497,0.07731958762886597,0.5334423014056882,15.0,316.0,1294.0,42.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_panns_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0393288090799943,0.19298245614035087,0.9161490683229814,0.07534246575342465,0.9697567389875082,0.1083743842364532,0.5545657622316661,11.0,135.0,1475.0,46.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_panns_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0471055352765759,0.12280701754385964,0.9745341614906833,0.14583333333333334,0.9691167387276096,0.13333333333333333,0.5486705895172714,7.0,41.0,1569.0,50.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_panns_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0328234149304171,0.8070175438596491,0.184472049689441,0.03384841795437822,0.9642857142857143,0.06497175141242939,0.495744796774545,46.0,1313.0,297.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_panns_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0328234146365517,0.9122807017543859,0.1093167701863354,0.034993270524899055,0.9723756906077348,0.06740116655865197,0.5107987359703606,52.0,1434.0,176.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_panns_predictions,random_forest,cough,all,,coughvid,platt,test,0.0346300171420501,0.45614035087719296,0.824223602484472,0.08414239482200647,0.9771723122238586,0.14207650273224046,0.6401819766808325,26.0,283.0,1327.0,31.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_panns_predictions,random_forest,cough,all,,coughvid,platt,test,0.0349776166505341,0.3157894736842105,0.9093167701863354,0.10975609756097561,0.9740518962075848,0.16289592760180996,0.6125531219352729,18.0,146.0,1464.0,39.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
