recalibration_method,n_samples,n_positive,n_negative,observed_prevalence,mean_probability,calibration_gap,ece,mce,brier,nll,n_bins,non_empty_bins,abs_calibration_gap,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,threshold,prediction_source,model_name,modality,feature_strategy,dataset,calibration_method,split,source_prevalence_for_offset,target_prevalence_for_offset,prevalence_offset
source_calibrated,8331,285,8046,0.03420957868203097,0.3052678854601649,0.271058306778134,0.271058306778134,0.8065950796228345,0.1341019308816761,0.4329959830914133,10,9,0.271058306778134,0.49856483116815153,0.03279607058822588,0.48428444339783094,0.12280701754385964,0.8457618692518022,0.04484304932735426,0.5,external_model_grid_beats_predictions,catboost,cough,top_stable_80,coughvid,platt,external,0.3052678854601649,0.03420957868203097,-2.518104551785654
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.04197514528086906,0.007765566598838092,0.01251406565752829,0.19195410510498134,0.03479358814100192,0.16238733545718165,10,3,0.007765566598838092,0.49856483116815153,0.03279607058822588,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,catboost,cough,top_stable_80,coughvid,platt,external,0.3052678854601649,0.03420957868203097,-2.518104551785654
source_calibrated,8331,285,8046,0.03420957868203097,0.2511034126510276,0.2168938339689966,0.21689383396899664,0.8072974561088216,0.10409487012268716,0.36270091867894366,10,8,0.2168938339689966,0.49269245696891995,0.032925181883742424,0.49439407616730113,0.08771929824561403,0.9010688540889883,0.045207956600361664,0.5,external_model_grid_beats_predictions,lightgbm,cough,all,coughvid,platt,external,0.2511034126510276,0.03420957868203097,-2.2477051227567006
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.04236533629128273,0.00815575760925176,0.01835367858956623,0.3091345735473807,0.035635641795684056,0.1637489877644036,10,4,0.00815575760925176,0.49269245696891995,0.032925181883742424,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,lightgbm,cough,all,coughvid,platt,external,0.2511034126510276,0.03420957868203097,-2.2477051227567006
source_calibrated,8331,285,8046,0.03420957868203097,0.2576688117520174,0.2234592330699864,0.22345923306998638,0.8102671657915703,0.1089903383743746,0.37367185159060035,10,8,0.2234592330699864,0.4811147306496418,0.031961257713651,0.48830409356725146,0.08771929824561403,0.8888888888888888,0.04152823920265781,0.5,external_model_grid_beats_predictions,lightgbm,cough,drop_high_shift,coughvid,platt,external,0.2576688117520174,0.03420957868203097,-2.282320768233301
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.042832431950488,0.008622853268457027,0.0198376787832835,0.3108457236103609,0.035741492986372754,0.16507839233160945,10,4,0.008622853268457027,0.4811147306496418,0.031961257713651,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,lightgbm,cough,drop_high_shift,coughvid,platt,external,0.2576688117520174,0.03420957868203097,-2.282320768233301
source_calibrated,8331,285,8046,0.03420957868203097,0.28513354749444075,0.2509239688124098,0.2509239688124098,0.7254158060986001,0.1247657044049981,0.41082120953618384,10,7,0.2509239688124098,0.4950665253738373,0.03300377459301031,0.4898151418815495,0.12280701754385964,0.8568232662192393,0.04755434782608696,0.5,external_model_grid_beats_predictions,lightgbm,cough,top_stable_120,coughvid,platt,external,0.28513354749444075,0.03420957868203097,-2.4213030849205937
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.04332802243981823,0.00911844375778726,0.01849761610710584,0.1986979494534479,0.03539851388165693,0.16432965626778523,10,3,0.00911844375778726,0.4950665253738373,0.03300377459301031,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,lightgbm,cough,top_stable_120,coughvid,platt,external,0.28513354749444075,0.03420957868203097,-2.4213030849205937
source_calibrated,8331,285,8046,0.03420957868203097,0.2942388770493191,0.26002929836728816,0.2600292983672881,0.7074562605907191,0.13119237569993955,0.42410196647337695,10,7,0.26002929836728816,0.5126906253952056,0.03508000241049666,0.5119484019519343,0.18596491228070175,0.8379318916231668,0.06455542021924482,0.5,external_model_grid_beats_predictions,lightgbm,cough,top_stable_50,coughvid,platt,external,0.2942388770493191,0.03420957868203097,-2.465556289167181
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.04381218174203121,0.009602603060000242,0.01913532457373631,0.1794064412534089,0.03518480734969106,0.16333796216915952,10,3,0.009602603060000242,0.5126906253952056,0.03508000241049666,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,lightgbm,cough,top_stable_50,coughvid,platt,external,0.2942388770493191,0.03420957868203097,-2.465556289167181
source_calibrated,8331,285,8046,0.03420957868203097,0.2930265910196168,0.25881701233758586,0.25881701233758586,0.7150602436989688,0.13073051239290193,0.4239707669026027,10,7,0.25881701233758586,0.5062199371159691,0.033315814945056296,0.486985360492955,0.12982456140350876,0.8441461595824012,0.046954314720812185,0.5,external_model_grid_beats_predictions,lightgbm,cough,top_stable_80,coughvid,platt,external,0.2930265910196168,0.03420957868203097,-2.4597114773444075
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.04392402713407336,0.00971444845204239,0.020138060411098474,0.20036156300184838,0.03549501487027849,0.16488940633628396,10,3,0.00971444845204239,0.5062199371159691,0.033315814945056296,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,lightgbm,cough,top_stable_80,coughvid,platt,external,0.2930265910196168,0.03420957868203097,-2.4597114773444075
source_calibrated,8331,285,8046,0.03420957868203097,0.23431014350986087,0.2001005648278299,0.2001005648278299,0.5726259423645187,0.08972270015173908,0.32824546887584094,10,6,0.2001005648278299,0.541583264649319,0.037862025178125765,0.5037252901081937,0.10526315789473684,0.9021874223216505,0.0544464609800363,0.5,external_model_grid_beats_predictions,logistic_regression,cough,all,coughvid,platt,external,0.23431014350986087,0.03420957868203097,-2.156309608983746
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.0393171223937511,0.005107543711720126,0.014153176676455303,0.09350877712930625,0.034144162480568785,0.1563314380733643,10,2,0.005107543711720126,0.541583264649319,0.037862025178125765,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,logistic_regression,cough,all,coughvid,platt,external,0.23431014350986087,0.03420957868203097,-2.156309608983746
source_calibrated,8331,285,8046,0.03420957868203097,0.23477838313803165,0.20056880445600067,0.20056880445600064,0.5833387997812989,0.09148888903376327,0.33061885864650575,10,6,0.20056880445600067,0.5529926606224734,0.039362181836552976,0.5148396718866518,0.13333333333333333,0.8963460104399702,0.06568712186689715,0.5,external_model_grid_beats_predictions,logistic_regression,cough,drop_high_shift,coughvid,platt,external,0.23477838313803165,0.03420957868203097,-2.158917703839543
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.039961970667590926,0.005752391985559956,0.014778491217624656,0.09429040130415163,0.0342217906695316,0.15652829143023608,10,2,0.005752391985559956,0.5529926606224734,0.039362181836552976,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,logistic_regression,cough,drop_high_shift,coughvid,platt,external,0.23477838313803165,0.03420957868203097,-2.158917703839543
source_calibrated,8331,285,8046,0.03420957868203097,0.3086848999377664,0.2744753212557354,0.27447532125573537,0.6982967131391906,0.1406144449853782,0.4432172439968238,10,8,0.2744753212557354,0.4992691148701981,0.03335958748841208,0.4875498776770413,0.16140350877192983,0.8136962465821527,0.05027322404371585,0.5,external_model_grid_beats_predictions,logistic_regression,cough,top_stable_120,coughvid,platt,external,0.3086848999377664,0.03420957868203097,-2.534166461839842
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.042904312686620955,0.008694734004589984,0.013011189952975274,0.10091074357727467,0.034759995603574914,0.1639208251112109,10,2,0.008694734004589984,0.4992691148701981,0.03335958748841208,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,logistic_regression,cough,top_stable_120,coughvid,platt,external,0.3086848999377664,0.03420957868203097,-2.534166461839842
source_calibrated,8331,285,8046,0.03420957868203097,0.3167826912569145,0.28257311257488354,0.2825731125748835,0.7071238329000941,0.14148978819529054,0.4480501379167511,10,8,0.28257311257488354,0.5025886241828783,0.032800718332156434,0.4859531378782527,0.15087719298245614,0.8210290827740492,0.048642533936651584,0.5,external_model_grid_beats_predictions,logistic_regression,cough,top_stable_50,coughvid,platt,external,0.3167826912569145,0.03420957868203097,-2.571844217540014
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.04169255622526137,0.0074829775432304,0.011075651399362955,0.10348857946502357,0.03449100721682411,0.16151547716414805,10,2,0.0074829775432304,0.5025886241828783,0.032800718332156434,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,logistic_regression,cough,top_stable_50,coughvid,platt,external,0.3167826912569145,0.03420957868203097,-2.571844217540014
source_calibrated,8331,285,8046,0.03420957868203097,0.3165416371633169,0.28233205848128595,0.28233205848128595,0.6813860856621774,0.14174843868903098,0.448364029411234,10,8,0.28233205848128595,0.49980724867101883,0.033310793255363305,0.48528395933906354,0.1543859649122807,0.8161819537658463,0.048672566371681415,0.5,external_model_grid_beats_predictions,logistic_regression,cough,top_stable_80,coughvid,platt,external,0.3165416371633169,0.03420957868203097,-2.5707302234588134
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.04177456139184633,0.007564982709815357,0.011098134787899191,0.10188888065102221,0.03445727920302758,0.1618017226266784,10,2,0.007564982709815357,0.49980724867101883,0.033310793255363305,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,logistic_regression,cough,top_stable_80,coughvid,platt,external,0.3165416371633169,0.03420957868203097,-2.5707302234588134
source_calibrated,8331,285,8046,0.03420957868203097,0.28664115355509057,0.2524315748730596,0.2524315748730596,0.7364645227207278,0.10996257540469276,0.3867126695490941,10,8,0.2524315748730596,0.4701183109401642,0.03147305940640125,0.48742362991744836,0.02456140350877193,0.9502858563261248,0.02023121387283237,0.5,external_model_grid_beats_predictions,random_forest,cough,all,coughvid,platt,external,0.28664115355509057,0.03420957868203097,-2.428687684880969
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.03714582836822488,0.002936249686193909,0.002936249686193909,0.22985932643305243,0.033694987743334265,0.15639021584265397,10,3,0.002936249686193909,0.4701183109401642,0.03147305940640125,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,random_forest,cough,all,coughvid,platt,external,0.28664115355509057,0.03420957868203097,-2.428687684880969
source_calibrated,8331,285,8046,0.03420957868203097,0.29374858088048406,0.2595390021984531,0.2595390021984531,0.7347685348112223,0.11481032164970353,0.3972882933236565,10,8,0.2595390021984531,0.47106985709364135,0.030991920223874925,0.48259089184557213,0.028070175438596492,0.9371116082525478,0.02002503128911139,0.5,external_model_grid_beats_predictions,random_forest,cough,drop_high_shift,coughvid,platt,external,0.29374858088048406,0.03420957868203097,-2.4631941148112237
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.037426547677149945,0.003216968995118974,0.0032169689951189744,0.2265124475568546,0.03375399101600542,0.1568393437126635,10,3,0.003216968995118974,0.47106985709364135,0.030991920223874925,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,random_forest,cough,drop_high_shift,coughvid,platt,external,0.29374858088048406,0.03420957868203097,-2.4631941148112237
source_calibrated,8331,285,8046,0.03420957868203097,0.3020432537325607,0.26783367505052974,0.26783367505052974,0.8196559933155487,0.12144564011037584,0.4114439313150811,10,9,0.26783367505052974,0.4847957577264065,0.0318660651683777,0.4853304028153904,0.05964912280701754,0.9110116828237633,0.03339882121807466,0.5,external_model_grid_beats_predictions,random_forest,cough,top_stable_120,coughvid,platt,external,0.3020432537325607,0.03420957868203097,-2.502854270896291
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.038318869776696046,0.004109291094665075,0.004301642193647607,0.224638821407046,0.03392504078804633,0.1572819960650409,10,3,0.004109291094665075,0.4847957577264065,0.0318660651683777,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,random_forest,cough,top_stable_120,coughvid,platt,external,0.3020432537325607,0.03420957868203097,-2.502854270896291
source_calibrated,8331,285,8046,0.03420957868203097,0.3077165496979237,0.2735069710158928,0.2735069710158928,0.6902961598234796,0.12260731672574235,0.4150324223331666,10,7,0.2735069710158928,0.5194713729389345,0.03622099703301286,0.5054986459437184,0.09824561403508772,0.912751677852349,0.05517241379310345,0.5,external_model_grid_beats_predictions,random_forest,cough,top_stable_50,coughvid,platt,external,0.3077165496979237,0.03420957868203097,-2.5296247562829284
