representation,modality,feature,coefficient,importance_abs,direction
beats,cough,beats_official_dim_0219,0.32043805263916936,0.32043805263916936,external_domain
beats,cough,beats_official_dim_0436,0.3203625659660819,0.3203625659660819,external_domain
beats,cough,beats_official_dim_0043,0.3201586649746906,0.3201586649746906,external_domain
beats,cough,beats_official_dim_0168,0.31990836878277656,0.31990836878277656,external_domain
beats,cough,beats_official_dim_0443,0.31708277114104205,0.31708277114104205,external_domain
beats,cough,beats_official_dim_0013,0.31637059119770344,0.31637059119770344,external_domain
beats,cough,beats_official_dim_0134,-0.31496606702145163,0.31496606702145163,source_domain
beats,cough,beats_official_dim_0276,0.3134244854174589,0.3134244854174589,external_domain
beats,cough,beats_official_dim_0481,0.3134199363961841,0.3134199363961841,external_domain
beats,cough,beats_official_dim_0180,0.3129879067945269,0.3129879067945269,external_domain
beats,cough,beats_official_dim_0612,-0.3111293394172197,0.3111293394172197,source_domain
beats,cough,beats_official_dim_0131,0.31067528869176975,0.31067528869176975,external_domain
beats,cough,beats_official_dim_0530,0.31060132313186034,0.31060132313186034,external_domain
beats,cough,beats_official_dim_0684,-0.3094642670985494,0.3094642670985494,source_domain
beats,cough,beats_official_dim_0198,-0.3085170578700626,0.3085170578700626,source_domain
beats,cough,beats_official_dim_0237,-0.30802682450498253,0.30802682450498253,source_domain
beats,cough,beats_official_dim_0283,-0.30747302792044945,0.30747302792044945,source_domain
beats,cough,beats_official_dim_0483,-0.3072426038696658,0.3072426038696658,source_domain
beats,cough,beats_official_dim_0629,-0.30719706375667505,0.30719706375667505,source_domain
beats,cough,beats_official_dim_0364,-0.30710873373274683,0.30710873373274683,source_domain
beats,cough,beats_official_dim_0224,0.30613807821144223,0.30613807821144223,external_domain
beats,cough,beats_official_dim_0252,0.30488670379194577,0.30488670379194577,external_domain
beats,cough,beats_official_dim_0478,0.30448924602496497,0.30448924602496497,external_domain
beats,cough,beats_official_dim_0058,-0.30281434195775764,0.30281434195775764,source_domain
beats,cough,beats_official_dim_0327,-0.30181448041753467,0.30181448041753467,source_domain
beats,cough,beats_official_dim_0122,0.3012212665023799,0.3012212665023799,external_domain
beats,cough,beats_official_dim_0098,-0.3006846904825457,0.3006846904825457,source_domain
beats,cough,beats_official_dim_0560,-0.3005618559788429,0.3005618559788429,source_domain
beats,cough,beats_official_dim_0372,-0.2998281045282866,0.2998281045282866,source_domain
beats,cough,beats_official_dim_0520,0.29888780507827933,0.29888780507827933,external_domain
beats,cough,beats_official_dim_0032,0.2985441863523982,0.2985441863523982,external_domain
beats,cough,beats_official_dim_0632,0.2980370911174561,0.2980370911174561,external_domain
beats,cough,beats_official_dim_0238,0.29788607897629127,0.29788607897629127,external_domain
beats,cough,beats_official_dim_0316,-0.29610345838237356,0.29610345838237356,source_domain
beats,cough,beats_official_dim_0449,-0.2947446616556293,0.2947446616556293,source_domain
beats,cough,beats_official_dim_0311,-0.2947269732567774,0.2947269732567774,source_domain
beats,cough,beats_official_dim_0614,-0.2937945454936269,0.2937945454936269,source_domain
beats,cough,beats_official_dim_0324,-0.2936471852436974,0.2936471852436974,source_domain
beats,cough,beats_official_dim_0399,0.29327460068154393,0.29327460068154393,external_domain
beats,cough,beats_official_dim_0401,0.29300619101575676,0.29300619101575676,external_domain
beats,cough,beats_official_dim_0108,0.2916969740803156,0.2916969740803156,external_domain
beats,cough,beats_official_dim_0042,-0.28904665639289046,0.28904665639289046,source_domain
beats,cough,beats_official_dim_0675,-0.2886044895802149,0.2886044895802149,source_domain
beats,cough,beats_official_dim_0375,-0.28842747746825853,0.28842747746825853,source_domain
beats,cough,beats_official_dim_0512,-0.2880442591103933,0.2880442591103933,source_domain
beats,cough,beats_official_dim_0190,0.2847680256807094,0.2847680256807094,external_domain
beats,cough,beats_official_dim_0349,0.2846782295915271,0.2846782295915271,external_domain
beats,cough,beats_official_dim_0075,0.28400341925686273,0.28400341925686273,external_domain
beats,cough,beats_official_dim_0047,-0.28374803787518,0.28374803787518,source_domain
beats,cough,beats_official_dim_0201,0.2835586556942173,0.2835586556942173,external_domain
beats,cough,beats_official_dim_0403,0.28326947731053104,0.28326947731053104,external_domain
beats,cough,beats_official_dim_0480,0.28204449974716056,0.28204449974716056,external_domain
beats,cough,beats_official_dim_0302,0.2820418287350832,0.2820418287350832,external_domain
beats,cough,beats_official_dim_0066,0.28139673273278365,0.28139673273278365,external_domain
beats,cough,beats_official_dim_0536,0.2810886034210066,0.2810886034210066,external_domain
beats,cough,beats_official_dim_0740,0.27925540852081054,0.27925540852081054,external_domain
beats,cough,beats_official_dim_0762,0.278986551691155,0.278986551691155,external_domain
beats,cough,beats_official_dim_0343,-0.2785497258172201,0.2785497258172201,source_domain
beats,cough,beats_official_dim_0167,-0.2785010757886318,0.2785010757886318,source_domain
beats,cough,beats_official_dim_0736,0.27830495727191656,0.27830495727191656,external_domain
beats,cough,beats_official_dim_0688,-0.2779130360351219,0.2779130360351219,source_domain
beats,cough,beats_official_dim_0272,0.2772875261214503,0.2772875261214503,external_domain
beats,cough,beats_official_dim_0313,0.2763674611371258,0.2763674611371258,external_domain
beats,cough,beats_official_dim_0150,0.2763184598050742,0.2763184598050742,external_domain
beats,cough,beats_official_dim_0038,0.27603686207836914,0.27603686207836914,external_domain
beats,cough,beats_official_dim_0422,0.2745353480328093,0.2745353480328093,external_domain
beats,cough,beats_official_dim_0485,-0.27436595357139165,0.27436595357139165,source_domain
beats,cough,beats_official_dim_0685,-0.2740508100043536,0.2740508100043536,source_domain
beats,cough,beats_official_dim_0435,-0.2738843346823069,0.2738843346823069,source_domain
beats,cough,beats_official_dim_0664,-0.27291841950093876,0.27291841950093876,source_domain
beats,cough,beats_official_dim_0256,-0.2728785007249669,0.2728785007249669,source_domain
beats,cough,beats_official_dim_0501,0.27094123168655854,0.27094123168655854,external_domain
beats,cough,beats_official_dim_0737,0.2705114621483751,0.2705114621483751,external_domain
beats,cough,beats_official_dim_0680,0.27007360072135084,0.27007360072135084,external_domain
beats,cough,beats_official_dim_0186,0.26990106128613095,0.26990106128613095,external_domain
beats,cough,beats_official_dim_0621,-0.26979562275566743,0.26979562275566743,source_domain
beats,cough,beats_official_dim_0067,0.2673418456695922,0.2673418456695922,external_domain
beats,cough,beats_official_dim_0710,-0.26587029172631516,0.26587029172631516,source_domain
beats,cough,beats_official_dim_0423,-0.26560805051325764,0.26560805051325764,source_domain
beats,cough,beats_official_dim_0511,0.264779882163539,0.264779882163539,external_domain
beats,cough,beats_official_dim_0115,-0.2645952400154951,0.2645952400154951,source_domain
beats,cough,beats_official_dim_0458,-0.264393178464037,0.264393178464037,source_domain
beats,cough,beats_official_dim_0751,-0.26433329747550827,0.26433329747550827,source_domain
beats,cough,beats_official_dim_0497,0.2640326514288897,0.2640326514288897,external_domain
beats,cough,beats_official_dim_0552,0.26123992506012594,0.26123992506012594,external_domain
beats,cough,beats_official_dim_0220,0.261018352767767,0.261018352767767,external_domain
beats,cough,beats_official_dim_0136,-0.26025579544536426,0.26025579544536426,source_domain
beats,cough,beats_official_dim_0351,0.2583329069035095,0.2583329069035095,external_domain
beats,cough,beats_official_dim_0592,0.25751397141643007,0.25751397141643007,external_domain
beats,cough,beats_official_dim_0659,0.25716038734601065,0.25716038734601065,external_domain
beats,cough,beats_official_dim_0146,-0.2561466098013329,0.2561466098013329,source_domain
beats,cough,beats_official_dim_0738,-0.2561072529885418,0.2561072529885418,source_domain
beats,cough,beats_official_dim_0413,-0.25587048138327984,0.25587048138327984,source_domain
beats,cough,beats_official_dim_0274,0.2521122659479253,0.2521122659479253,external_domain
beats,cough,beats_official_dim_0291,-0.25145520012331773,0.25145520012331773,source_domain
beats,cough,beats_official_dim_0072,-0.25131006161590613,0.25131006161590613,source_domain
beats,cough,beats_official_dim_0651,0.2512453505309435,0.2512453505309435,external_domain
beats,cough,beats_official_dim_0062,-0.24953688516384173,0.24953688516384173,source_domain
beats,cough,beats_official_dim_0661,-0.24895576269125502,0.24895576269125502,source_domain
beats,cough,beats_official_dim_0606,0.24891216935043475,0.24891216935043475,external_domain
beats,cough,beats_official_dim_0194,0.24745455808553746,0.24745455808553746,external_domain
beats,cough,beats_official_dim_0191,0.2470915250904552,0.2470915250904552,external_domain
beats,cough,beats_official_dim_0079,0.24644532237586853,0.24644532237586853,external_domain
beats,cough,beats_official_dim_0328,-0.24352803362559225,0.24352803362559225,source_domain
beats,cough,beats_official_dim_0312,-0.2435092321446499,0.2435092321446499,source_domain
