feature,before_smd,after_smd,before_abs_smd,after_abs_smd,weight_config,control_method,weight_cap,clip_quantile,smd_reduction,balance_severity,rank_after_weighting
sample_rate_original_48000.0,0.2938833503005207,0.1168856295555675,0.2938833503005207,0.1168856295555675,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.1769977207449532,minor_residual_imbalance,13
country_Canada,-0.1370377419655063,-0.1164436065619657,0.1370377419655063,0.1164436065619657,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.020594135403540603,minor_residual_imbalance,14
sample_rate_original_unknown,-0.1370377419655063,-0.1162349217782332,0.1370377419655063,0.1162349217782332,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.0208028201872731,minor_residual_imbalance,15
country_Pakistan,-0.0966736489045663,-0.0826547866064693,0.0966736489045663,0.0826547866064693,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014018862298096998,well_balanced,16
country_France,-0.0966736489045663,-0.0823236512280665,0.0966736489045663,0.0823236512280665,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014349997676499804,well_balanced,17
gender_other,-0.0966736489045663,-0.0823236512280665,0.0966736489045663,0.0823236512280665,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014349997676499804,well_balanced,18
country_Hungary,-0.0966736489045663,-0.0822415278875689,0.0966736489045663,0.0822415278875689,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014432121016997396,well_balanced,19
country_Mexico,-0.0966736489045663,-0.0821808587400947,0.0966736489045663,0.0821808587400947,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014492790164471595,well_balanced,20
country_Malaysia,-0.0966736489045663,-0.0821053419811863,0.0966736489045663,0.0821053419811863,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.01456830692338,well_balanced,21
country_Indonesia,-0.0966736489045663,-0.0820520471058441,0.0966736489045663,0.0820520471058441,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722197,well_balanced,22
country_Oman,-0.0966736489045663,-0.0820520471058441,0.0966736489045663,0.0820520471058441,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722197,well_balanced,23
country_China,-0.0966736489045663,-0.082052047105844,0.0966736489045663,0.082052047105844,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722295,well_balanced,24
country_Finland,-0.0966736489045663,-0.082052047105844,0.0966736489045663,0.082052047105844,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722295,well_balanced,25
country_Ireland,-0.0966736489045663,-0.082052047105844,0.0966736489045663,0.082052047105844,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722295,well_balanced,26
country_Italy,-0.0966736489045663,-0.082052047105844,0.0966736489045663,0.082052047105844,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722295,well_balanced,27
country_Netherlands The,-0.0966736489045663,-0.082052047105844,0.0966736489045663,0.082052047105844,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722295,well_balanced,28
country_Norway,-0.0966736489045663,-0.082052047105844,0.0966736489045663,0.082052047105844,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722295,well_balanced,29
country_Philippines,-0.0966736489045663,-0.082052047105844,0.0966736489045663,0.082052047105844,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722295,well_balanced,30
country_Saudi Arabia,-0.0966736489045663,-0.082052047105844,0.0966736489045663,0.082052047105844,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722295,well_balanced,31
