feature,importance,ranker,selection_split,selection_scope,n_selection_scopes,n_train_rows,n_train_positive,n_train_negative,rank
compare2016__opensmile_compare2016_voicingFinalUnclipped_sma_de_quartile1,0.039048679970767886,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,101
compare2016__opensmile_compare2016_audspec_lengthL1norm_sma_de_stddevRisingSlope,0.0386403187841633,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,102
compare2016__opensmile_compare2016_mfcc_sma_10_amean,0.03796695772746596,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,103
is10__opensmile_is10_mfcc_sma_5_amean,0.03784044171635937,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,104
strong__mfcc_39_mean,0.03772744984406993,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,105
strong__chroma_08_min,0.03717634034167646,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,106
compare2016__opensmile_compare2016_mfcc_sma_de_4_meanPeakDist,0.0369638855388346,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,107
strong__mfcc_14_min,0.03685774193905186,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,108
strong__delta_mfcc_01_kurtosis,0.0367714986045472,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,109
strong__mfcc_05_min,0.03670362253692193,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,110
compare2016__event_duration_sec,0.03657450519343396,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,111
strong__mfcc_07_min,0.03650323487651818,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,112
compare2016__opensmile_compare2016_jitterLocal_sma_skewness,0.03626874969845531,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,113
strong__mel_band_20_std,0.03620092691861825,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,114
compare2016__opensmile_compare2016_audSpec_Rfilt_sma_de_20_meanPeakDist,0.03584429502815554,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,115
compare2016__opensmile_compare2016_mfcc_sma_14_peakMeanAbs,0.0355160743291368,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,116
strong__mfcc_04_skew,0.03496168875155757,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,117
strong__mfcc_17_min,0.03461648908099911,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,118
compare2016__opensmile_compare2016_mfcc_sma_de_2_stddevRisingSlope,0.03424446956269681,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,119
strong__spectral_contrast_06_std,0.0339062955819159,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,120
is10__opensmile_is10_mfcc_sma_3_linregc2,0.03371813777550858,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,121
strong__mfcc_01_max,0.033127462091868114,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,122
compare2016__opensmile_compare2016_pcm_fftMag_spectralSkewness_sma_iqr1_3,0.03295933342274731,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,123
strong__spectral_rolloff_max,0.03221056764548665,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,124
compare2016__opensmile_compare2016_audSpec_Rfilt_sma_25_percentile1_0,0.032081154135270136,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,125
is10__opensmile_is10_logMelFreqBand_sma_de_1_percentile1_0,0.032045298546416405,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,126
strong__delta_mfcc_40_skew,0.03193037651431086,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,127
compare2016__opensmile_compare2016_mfcc_sma_de_1_meanPeakDist,0.03173152408933142,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,128
strong__delta_mfcc_03_q75,0.03141162434162797,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,129
compare2016__opensmile_compare2016_mfcc_sma_de_6_meanPeakDist,0.03106570386574244,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,130
compare2016__opensmile_compare2016_pcm_fftMag_spectralEntropy_sma_de_flatness,0.030992059849511384,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,131
compare2016__opensmile_compare2016_pcm_fftMag_spectralSlope_sma_iqr1_2,0.030746833110781063,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,132
compare2016__opensmile_compare2016_pcm_fftMag_spectralFlux_sma_upleveltime75,0.030743749414073412,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,133
strong__mel_band_19_std,0.030492462785031902,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,134
is10__opensmile_is10_logMelFreqBand_sma_de_0_skewness,0.03046470630368268,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,135
compare2016__opensmile_compare2016_pcm_zcr_sma_de_stddevFallingSlope,0.030350923849494626,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,136
compare2016__opensmile_compare2016_audspec_lengthL1norm_sma_minRangeRel,0.03016695771753807,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,137
strong__mel_band_57_std,0.029959654611531734,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,138
strong__spectral_contrast_01_mean,0.029917518509615357,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,139
compare2016__opensmile_compare2016_mfcc_sma_de_2_meanPeakDist,0.029787298300031226,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,140
strong__mel_band_61_skew,0.029628027071662552,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,141
strong__mfcc_39_max,0.029611816222081866,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,142
strong__mfcc_04_mean,0.029438297343978168,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,143
is10__opensmile_is10_mfcc_sma_2_percentile99_0,0.029074531192227086,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,144
compare2016__opensmile_compare2016_mfcc_sma_5_peakMeanAbs,0.028944589198483608,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,145
is10__opensmile_is10_mfcc_sma_1_upleveltime90,0.028770348729753686,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,146
compare2016__opensmile_compare2016_mfcc_sma_7_lpc1,0.02858502085353039,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,147
compare2016__opensmile_compare2016_mfcc_sma_3_range,0.0283621869708217,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,148
compare2016__active_audio_ratio,0.028219357401487854,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,149
