audit_model,feature,feature_group,existing_importance_abs,existing_coefficient,existing_rank,time_stratified_importance_abs,time_stratified_coefficient,time_stratified_rank,temporal_importance_abs,temporal_coefficient,temporal_rank,delta_temporal_minus_existing,delta_time_stratified_minus_existing
full_safe_metadata,country_France,demographic,0.3053934045470385,0.3053934045470385,18.0,0.1887862765291217,0.1887862765291217,27.0,0.5058829390922338,0.5058829390922338,10.0,0.2004895345451953,-0.11660712801791681
full_safe_metadata,country_Australia,demographic,0.3033242723598415,-0.3033242723598415,19.0,,,,0.0831094056948646,0.0831094056948646,34.0,-0.22021486666497692,
full_safe_metadata,symptoms_json_st,symptom_or_label_proxy,0.3029360637332409,0.3029360637332409,20.0,0.5455111885406846,0.5455111885406846,9.0,0.3282882444108778,0.3282882444108778,17.0,0.025352180677636893,0.2425751248074437
full_safe_metadata,symptoms_json_mp,symptom_or_label_proxy,0.291349407228707,0.291349407228707,21.0,0.3535625676493724,0.3535625676493724,14.0,0.0289628942393661,0.0289628942393661,52.0,-0.2623865129893409,0.06221316042066538
full_safe_metadata,comorbidities_json_smoker,comorbidity_proxy,0.2837483297440645,-0.2837483297440645,22.0,0.1163746337833908,-0.1163746337833908,43.0,0.180891227071883,-0.180891227071883,28.0,-0.10285710267218151,-0.1673736959606737
full_safe_metadata,duration_sec,recording_protocol,0.2798460620443441,-0.2798460620443441,23.0,0.2485552918604367,-0.2485552918604367,20.0,0.5847055344859783,-0.5847055344859783,9.0,0.3048594724416342,-0.031290770183907385
full_safe_metadata,comorbidities_json_asthma,comorbidity_proxy,0.2746840566803486,0.2746840566803486,24.0,0.1799524723238831,0.1799524723238831,29.0,0.2755043880167734,0.2755043880167734,19.0,0.0008203313364247844,-0.09473158435646553
full_safe_metadata,country_Bangladesh,demographic,0.2680828318909892,-0.2680828318909892,25.0,0.2950777737391387,-0.2950777737391387,17.0,0.1155102876355416,-0.1155102876355416,32.0,-0.15257254425544758,0.02699494184814949
full_safe_metadata,country_Thailand,demographic,0.2551106207850283,-0.2551106207850283,26.0,0.2873637003569581,-0.2873637003569581,18.0,,,,,0.0322530795719298
full_safe_metadata,country_Portugal,demographic,0.2370024085893786,-0.2370024085893786,27.0,0.2400140483741375,-0.2400140483741375,21.0,,,,,0.003011639784758907
full_safe_metadata,comorbidities_json_ihd,comorbidity_proxy,0.216653429474466,0.216653429474466,28.0,0.1099619211270786,0.1099619211270786,45.0,0.1311914407501514,0.1311914407501514,31.0,-0.0854619887243146,-0.1066915083473874
full_safe_metadata,country_Israel,demographic,0.1956826180249176,-0.1956826180249176,29.0,0.2133086263872949,-0.2133086263872949,24.0,0.2071856333863199,-0.2071856333863199,25.0,0.011503015361402302,0.017626008362377293
full_safe_metadata,country_Japan,demographic,0.1895077252866457,-0.1895077252866457,30.0,0.2497765208119032,-0.2497765208119032,19.0,0.014341298939991,0.014341298939991,57.0,-0.1751664263466547,0.06026879552525752
full_safe_metadata,comorbidities_json_diabetes,comorbidity_proxy,0.184562646046668,0.184562646046668,31.0,0.1750157091660491,0.1750157091660491,31.0,0.0940445997819927,-0.0940445997819927,33.0,-0.0905180462646753,-0.00954693688061889
full_safe_metadata,country_Malaysia,demographic,0.1684341758295882,-0.1684341758295882,32.0,0.1958952748228201,-0.1958952748228201,25.0,0.0419030718305917,-0.0419030718305917,47.0,-0.1265311039989965,0.027461098993231903
full_safe_metadata,country_South Africa,demographic,0.1567004698324994,-0.1567004698324994,33.0,0.1684082299608283,-0.1684082299608283,33.0,,,,,0.011707760128328887
full_safe_metadata,country_Greece,demographic,0.1561315379877025,-0.1561315379877025,34.0,0.1753539213189634,-0.1753539213189634,30.0,,,,,0.019222383331260917
full_safe_metadata,country_Singapore,demographic,0.1549915931385278,-0.1549915931385278,35.0,0.1436219398337474,-0.1436219398337474,36.0,0.03944012036117,0.03944012036117,48.0,-0.1155514727773578,-0.011369653304780403
full_safe_metadata,country_Syria,demographic,0.1475875612366404,-0.1475875612366404,36.0,0.1326720045591722,-0.1326720045591722,39.0,,,,,-0.014915556677468217
full_safe_metadata,country_Egypt,demographic,0.1465862528912409,-0.1465862528912409,37.0,,,,,,,,
full_safe_metadata,quality_flag_mostly_silence,recording_protocol,0.1367774921524125,0.1367774921524125,38.0,0.0627194950638659,0.0627194950638659,54.0,0.2917515386988082,0.2917515386988082,18.0,0.1549740465463957,-0.0740579970885466
full_safe_metadata,country_Turkey,demographic,0.1351968096084187,-0.1351968096084187,39.0,,,,0.2305605858756881,-0.2305605858756881,23.0,0.09536377626726938,
full_safe_metadata,country_Spain,demographic,0.1263246673501626,-0.1263246673501626,40.0,,,,0.2706133579979317,-0.2706133579979317,20.0,0.14428869064776909,
full_safe_metadata,quality_flag_ok,recording_protocol,0.1179220251745103,0.1179220251745103,41.0,0.0098658338598121,0.0098658338598121,65.0,0.362235901985143,0.362235901985143,16.0,0.2443138768106327,-0.1080561913146982
full_safe_metadata,country_Iraq,demographic,0.1058644688925591,-0.1058644688925591,42.0,0.11370152410781,-0.11370152410781,44.0,,,,,0.007837055215250896
