prediction_source,evaluation_protocol,analysis_family,model_name,modality,submodality,modality_combination,fusion_method,feature_strategy,selected_feature_k,metric_split,split,analysis,n_aligned,duration_mean,duration_std,probability_duration_pearson,probability_duration_spearman
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,cough,shallow_cough,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,310,5.284275403225807,2.0469814119371894,-0.2771931537983422,-0.34369407728848944
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,cough,shallow_cough,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,306,5.263009395424836,2.285373298858052,-0.1830219512202554,-0.2231271187083762
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,speech,counting_fast,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,311,7.967924035369775,2.3566379561885418,0.017555136396356225,-0.08722790415640239
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,speech,counting_fast,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,308,8.068978287337663,2.32110860616759,0.08930401231534625,-0.07088527773606386
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,speech,counting_normal,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,311,14.163036374598072,4.260508511630812,-0.05443920780972444,-0.05005277689941914
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,speech,counting_normal,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,307,14.559037459283386,4.277978827603208,-0.022378107547241892,-0.1500310914331917
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,speech,vowel_a,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,297,9.897281986531986,5.502839198699246,-0.22692108945528525,-0.19679986652067247
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,speech,vowel_a,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,294,9.639350765306123,4.937730925428704,-0.30219059340964755,-0.31595965281182253
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,speech,vowel_e,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,295,10.817501483050847,6.157727807469651,-0.2470535435283658,-0.23422226814082225
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,speech,vowel_e,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,294,10.678389030612244,5.441409579959869,-0.28748449291644185,-0.28573135362722435
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,speech,vowel_o,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,289,10.364101211072663,5.461551854400567,-0.24625777237293328,-0.24517953191429376
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,speech,vowel_o,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,289,10.390499783737024,5.067222280510084,-0.2733207434725138,-0.2642072229120721
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,298,16.67239744127517,6.575681338280656,-0.2404895854471757,-0.23649192835274077
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,302,16.679171150662253,5.7378571341312,-0.1647177109012814,-0.15758010804408284
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,296,10.726572846283783,4.731751957353939,0.0269979864945474,-0.0015161541114859047
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,297,10.394102483164984,4.999488473108608,-0.03360657491949408,-0.07022587182159686
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,312,5.904469551282052,2.171198070230036,-0.18589325055735018,-0.17785971253307079
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,305,6.005301844262295,2.156488639625109,-0.13749309062688758,-0.14248688883700045
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,cough,shallow_cough,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,310,5.284275403225807,2.0469814119371894,-0.26045154012133154,-0.30893798038962694
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,cough,shallow_cough,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,306,5.263009395424836,2.285373298858052,-0.1650439788700291,-0.19608577473616712
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,speech,counting_fast,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,311,7.967924035369775,2.3566379561885418,-0.0016623893154560664,-0.08434298520091617
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,speech,counting_fast,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,308,8.068978287337663,2.32110860616759,0.06288173832549895,-0.0792921988509326
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,speech,counting_normal,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,311,14.163036374598072,4.260508511630812,-0.029457495673664003,-0.04185667785935905
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,speech,counting_normal,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,307,14.559037459283386,4.277978827603208,-0.02465226810130237,-0.1311202725867853
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,speech,vowel_a,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,297,9.897281986531986,5.502839198699246,-0.22007835160486391,-0.20204140513103158
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,speech,vowel_a,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,294,9.639350765306123,4.937730925428704,-0.26587054112798136,-0.28241168611681805
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,speech,vowel_e,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,295,10.817501483050847,6.157727807469651,-0.22742802098522977,-0.21202830053177965
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,speech,vowel_e,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,294,10.678389030612244,5.441409579959869,-0.26873782939541924,-0.2735681359377587
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,speech,vowel_o,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,289,10.364101211072663,5.461551854400567,-0.2631497522792597,-0.2608081752716006
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,speech,vowel_o,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,289,10.390499783737024,5.067222280510084,-0.2683185064366129,-0.2623812544902008
compare_is10_final_validation_predictions,compare_is10_temporal_early_to_late,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,392,14.724866709183674,5.724369848763156,-0.14060969885995966,-0.10339949046870472
compare_is10_final_validation_predictions,compare_is10_temporal_early_to_late,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,402,15.837174129353233,6.215333403672904,-0.18190343771872491,-0.20261379026615894
compare_is10_final_validation_predictions,compare_is10_temporal_early_to_late,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,388,10.568558956185568,5.323598489267108,0.01186151389903825,0.04582126554593689
compare_is10_final_validation_predictions,compare_is10_temporal_early_to_late,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,397,10.742097764483628,5.027293789852788,-0.019355910289085725,-0.031215540447507927
compare_is10_final_validation_predictions,compare_is10_temporal_early_to_late,strong_audio_modality,catboost_smote_f80,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,409,5.390074113691933,2.2256502607692266,-0.10592362093833724,-0.09500270263576237
compare_is10_final_validation_predictions,compare_is10_temporal_early_to_late,strong_audio_modality,catboost_smote_f80,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,417,6.143201738609113,3.129714127826045,-0.09819684739243568,-0.1775293924107238
compare_is10_final_validation_predictions,compare_is10_temporal_early_to_late,strong_audio_modality,catboost_smote_f80,cough,shallow_cough,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,409,4.839944070904646,2.005710302283906,-0.20420244714812816,-0.26626079243603645
compare_is10_final_validation_predictions,compare_is10_temporal_early_to_late,strong_audio_modality,catboost_smote_f80,cough,shallow_cough,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,413,5.338362742130751,2.920624405073457,-0.023258107646284075,-0.20151648202708464
compare_is10_final_validation_predictions,compare_is10_temporal_early_to_late,strong_audio_modality,catboost_smote_f80,speech,counting_fast,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,407,8.67567582923833,3.2537822052649257,-0.04548633655447578,-0.08014894076914154
compare_is10_final_validation_predictions,compare_is10_temporal_early_to_late,strong_audio_modality,catboost_smote_f80,speech,counting_fast,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,415,8.252519277108433,2.998336256557029,0.04509573811748076,-0.055020348443222955
compare_is10_final_validation_predictions,compare_is10_temporal_early_to_late,strong_audio_modality,catboost_smote_f80,speech,counting_normal,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,411,15.244627737226278,5.282968069782564,0.12427473093896721,0.14261430984496173
compare_is10_final_validation_predictions,compare_is10_temporal_early_to_late,strong_audio_modality,catboost_smote_f80,speech,counting_normal,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,417,14.091541366906474,4.651679776292589,-0.08672800083353073,-0.0887482270642223
compare_is10_final_validation_predictions,compare_is10_temporal_early_to_late,strong_audio_modality,catboost_smote_f80,speech,vowel_a,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,382,9.154710242146598,5.072256165617543,-0.2807528379523323,-0.283417972205205
compare_is10_final_validation_predictions,compare_is10_temporal_early_to_late,strong_audio_modality,catboost_smote_f80,speech,vowel_a,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,401,8.62360551745636,5.06060495589981,-0.3814279989930095,-0.4150740926670741
