table_source,evaluation_protocol,analysis_family,model_name,modality,feature_strategy,n_samples,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,brier,ece,nll
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,737,0.786,0.702,0.718,0.562,0.873,0.616,0.166,0.071,0.501
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,409,0.813,0.724,0.722,0.534,0.909,0.620,0.153,0.033,0.476
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,737,0.802,0.714,0.722,0.692,0.753,0.628,0.173,0.111,0.559
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,409,0.813,0.718,0.724,0.669,0.779,0.629,0.171,0.121,0.555
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,737,0.786,0.686,0.712,0.750,0.674,0.619,0.170,0.062,0.511
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,409,0.814,0.719,0.734,0.737,0.732,0.643,0.157,0.058,0.482
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,737,0.789,0.693,0.713,0.667,0.759,0.615,0.170,0.063,0.510
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,409,0.811,0.710,0.734,0.692,0.775,0.641,0.159,0.053,0.485
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,737,0.818,0.718,0.745,0.696,0.795,0.656,0.155,0.025,0.476
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,409,0.828,0.736,0.757,0.684,0.830,0.672,0.148,0.054,0.464
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,737,0.830,0.745,0.761,0.675,0.847,0.678,0.156,0.084,0.509
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,409,0.797,0.721,0.727,0.654,0.801,0.633,0.170,0.101,0.566
