prediction_source,model_name,modality,feature_strategy,fusion_method,dataset,calibration_method,split,n_samples,n_positive,n_negative,observed_prevalence,mean_probability,calibration_gap,ece,mce,brier,nll,n_bins,non_empty_bins
external_model_grid_beats_predictions,lightgbm,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2511034126510276,0.2168938339689966,0.21689383396899664,0.8072974561088216,0.10409487012268716,0.36270091867894366,10,8
external_model_grid_beats_predictions,lightgbm,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2576688117520174,0.2234592330699864,0.22345923306998638,0.8102671657915703,0.1089903383743746,0.37367185159060035,10,8
external_model_grid_beats_predictions,lightgbm,cough,top_stable_120,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.28513354749444075,0.2509239688124098,0.2509239688124098,0.7254158060986001,0.1247657044049981,0.41082120953618384,10,7
external_model_grid_beats_predictions,lightgbm,cough,top_stable_50,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2942388770493191,0.26002929836728816,0.2600292983672881,0.7074562605907191,0.13119237569993955,0.42410196647337695,10,7
external_model_grid_beats_predictions,lightgbm,cough,top_stable_80,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2930265910196168,0.25881701233758586,0.25881701233758586,0.7150602436989688,0.13073051239290193,0.4239707669026027,10,7
external_model_grid_beats_predictions,logistic_regression,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.23431014350986087,0.2001005648278299,0.2001005648278299,0.5726259423645187,0.08972270015173908,0.32824546887584094,10,6
external_model_grid_beats_predictions,logistic_regression,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.23477838313803165,0.20056880445600067,0.20056880445600064,0.5833387997812989,0.09148888903376327,0.33061885864650575,10,6
external_model_grid_beats_predictions,logistic_regression,cough,top_stable_120,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3086848999377664,0.2744753212557354,0.27447532125573537,0.6982967131391906,0.1406144449853782,0.4432172439968238,10,8
external_model_grid_beats_predictions,logistic_regression,cough,top_stable_50,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3167826912569145,0.28257311257488354,0.2825731125748835,0.7071238329000941,0.14148978819529054,0.4480501379167511,10,8
external_model_grid_beats_predictions,logistic_regression,cough,top_stable_80,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3165416371633169,0.28233205848128595,0.28233205848128595,0.6813860856621774,0.14174843868903098,0.448364029411234,10,8
external_model_grid_beats_predictions,random_forest,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.28664115355509057,0.2524315748730596,0.2524315748730596,0.7364645227207278,0.10996257540469276,0.3867126695490941,10,8
external_model_grid_beats_predictions,random_forest,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.29374858088048406,0.2595390021984531,0.2595390021984531,0.7347685348112223,0.11481032164970353,0.3972882933236565,10,8
external_model_grid_beats_predictions,random_forest,cough,top_stable_120,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3020432537325607,0.26783367505052974,0.26783367505052974,0.8196559933155487,0.12144564011037584,0.4114439313150811,10,9
external_model_grid_beats_predictions,random_forest,cough,top_stable_50,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3077165496979237,0.2735069710158928,0.2735069710158928,0.6902961598234796,0.12260731672574235,0.4150324223331666,10,7
external_model_grid_beats_predictions,random_forest,cough,top_stable_80,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3032465171285191,0.2690369384464881,0.26903693844648807,0.8232137464051956,0.12263595538967903,0.4138758037551555,10,8
external_model_grid_beats_predictions,xgboost,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2506557039042534,0.21644612522222242,0.21644612522222242,0.8092292387830557,0.10289616806639666,0.35748860599909527,10,9
external_model_grid_beats_predictions,xgboost,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.25953051451151493,0.22532093582948395,0.22532093582948393,0.800178944726722,0.10976103272984734,0.372380597740652,10,9
external_model_grid_beats_predictions,xgboost,cough,top_stable_120,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3025729841286665,0.26836340544663556,0.26836340544663556,0.7104130626134018,0.13322018545677342,0.42953037625363844,10,8
external_model_grid_beats_predictions,xgboost,cough,top_stable_50,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.30952700663325405,0.2753174279512231,0.27531742795122305,0.7027312806228145,0.13613724944852942,0.4364645949963462,10,8
external_model_grid_beats_predictions,xgboost,cough,top_stable_80,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.31037533032696635,0.2761657516449354,0.2761657516449354,0.7201269237875612,0.13901703388582673,0.4427864857519859,10,8
external_model_grid_opensmile_egemaps_predictions,catboost,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2573183526085574,0.22310877392652642,0.22310877392652645,0.6741801200030157,0.10154574039415973,0.3582189005498976,10,8
external_model_grid_opensmile_egemaps_predictions,catboost,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2479472235365481,0.21373764485451713,0.21373764485451718,0.6764206653715357,0.09505510658252181,0.34347837025620154,10,8
external_model_grid_opensmile_egemaps_predictions,catboost,cough,top_stable_120,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2556359816374405,0.22142640295540952,0.22147343228409916,0.6697763403534068,0.10263636498485923,0.358969885240252,10,9
