auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,evaluation_protocol,analysis_family,model_name,modality,feature_strategy,selected_feature_k,fold,fold_unit,metric_split,threshold_source,skipped,n_selected_features,n_folds,auroc_std,auprc_std,balanced_accuracy_std,f1_std,sensitivity_std,specificity_std,brier_std,ece_std,nll_std,paper_comparable_modality_run
0.7770387194462471,0.6933155068481898,0.6878920614319706,0.5808823529411765,0.5895522388059702,0.7862318840579711,0.1681818402023631,0.0585221271836261,0.5101063954902959,0.4068142771128238,410.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,800.0,4,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8124413145539906,0.7264350235717486,0.7330943997317236,0.6398305084745762,0.6291666666666667,0.8370221327967807,0.1644973407473506,0.0907357849376448,0.5374355989380225,0.3178139864829375,737.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,800.0,5,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8533834586466166,0.768085928005288,0.764751552795031,0.6810035842293907,0.7142857142857143,0.8152173913043478,0.1418634583362574,0.0605416810857942,0.4566294003623217,0.3178139864829375,409.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,800.0,5,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8068829644533869,0.7143087829765913,0.7320171026156941,0.6382978723404256,0.625,0.8390342052313883,0.1581755669770787,0.0314112700050064,0.4822188211538904,0.4147275845970143,737.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,800.0,5,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8373106679742836,0.7377968355758292,0.7420589517271439,0.6518518518518519,0.6616541353383458,0.822463768115942,0.1486272789645482,0.0445976897216957,0.4551519406940887,0.4147275845970143,409.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,800.0,5,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8065057008718981,0.7226272313970717,0.7241197183098591,0.6258503401360545,0.575,0.8732394366197183,0.1574294021214491,0.0380465483351066,0.4810833349019212,0.4881564974784851,737.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,800.0,5,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8366841015582434,0.7393147036171352,0.7299634956957611,0.6345381526104418,0.5939849624060151,0.8659420289855072,0.1494916817682855,0.0534317744053299,0.4593999969118874,0.4881564974784851,409.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,800.0,5,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8222250167672702,0.7086035373020367,0.74746395036888,0.6595744680851063,0.6458333333333334,0.8490945674044266,0.1550818176062272,0.0566360903318351,0.47256547622858,0.3688339126789214,737.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,800.0,5,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8437397842432168,0.7256204189060893,0.7736733137190803,0.6937269372693727,0.706766917293233,0.8405797101449275,0.1467425010730227,0.0569408763700631,0.4539686474901545,0.3688339126789214,409.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,800.0,5,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8357017102615695,0.7699126162177213,0.7677271965124077,0.6885964912280702,0.6541666666666667,0.8812877263581489,0.1463153345819897,0.0761177784869352,0.4875999698299143,0.4126506016205153,737.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,800.0,6,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
