feature,source_mean,external_mean,source_std,external_std,standardized_mean_difference,abs_standardized_mean_difference,ks_statistic,n_source,n_external
beats_official_dim_0760,0.16883563415206965,0.21536078955112745,0.13710138749877973,0.15273073702315856,0.320555078506179,0.320555078506179,0.1431421315799396,4094,8331
beats_official_dim_0288,-0.02653327493803441,0.012567513918846886,0.12569787582083283,0.11815742023350383,0.32050543903882,0.32050543903882,0.14240079063857464,4094,8331
beats_official_dim_0553,0.10508174798042069,0.06625367266591171,0.12438206830231482,0.11783883858310816,-0.3204538894601115,0.3204538894601115,0.1537053824020408,4094,8331
beats_official_dim_0015,0.14414594012352855,0.20324985421145134,0.1756782990434452,0.19505976775835557,0.31838181457743336,0.31838181457743336,0.1426748976767721,4094,8331
beats_official_dim_0609,0.051512841548633434,0.020325168011288485,0.10221030000679705,0.09386238328427897,-0.31780587124011334,0.31780587124011334,0.14750119285964802,4094,8331
beats_official_dim_0049,-0.019088064880593975,-0.04852341536709414,0.09316649801992218,0.09267893746529712,-0.3167423872509658,0.3167423872509658,0.13744276340707107,4094,8331
beats_official_dim_0114,0.22294842129659728,0.25535160279318897,0.10550849127947477,0.09936619363547614,0.316150513050147,0.316150513050147,0.1252659489161117,4094,8331
beats_official_dim_0311,0.13448850753763825,0.17123833228819038,0.11750895748264416,0.11608437948610449,0.31461325764289416,0.31461325764289416,0.13114961881559373,4094,8331
beats_official_dim_0050,-0.06263553455422613,-0.10135336190838379,0.12104585609167441,0.12521656413983248,-0.3143702610712924,0.3143702610712924,0.14604560209931566,4094,8331
beats_official_dim_0123,0.08526276471585055,0.1353833773049424,0.15846408703570083,0.16173535379962015,0.3130140646790073,0.3130140646790073,0.12110825325179958,4094,8331
beats_official_dim_0405,-0.24694400488873958,-0.2950064495936467,0.15591983660110034,0.15243239874634737,-0.31168874147919284,0.31168874147919284,0.12359494854944336,4094,8331
beats_official_dim_0178,0.06434832337105617,0.1060299547029867,0.13855175494082833,0.1302125808191783,0.3099943074962685,0.3099943074962685,0.13821512426996901,4094,8331
beats_official_dim_0675,-0.0938213904736944,-0.17210034837333446,0.2389081119134318,0.2658294681410291,-0.30970940148877485,0.30970940148877485,0.12189650522761908,4094,8331
beats_official_dim_0534,0.03935819545500376,0.0788641531462511,0.12644946949044297,0.12892977415064916,0.30934793155641505,0.30934793155641505,0.14624529650910956,4094,8331
beats_official_dim_0591,-0.027590527641467973,-0.06867312721488632,0.12740773387098628,0.13832239544640712,-0.30891757979162415,0.30891757979162415,0.12881558961570305,4094,8331
beats_official_dim_0642,0.22624319370784238,0.26975088826089344,0.13247904159527768,0.14940128298690242,0.30811452068107786,0.30811452068107786,0.12752659166647762,4094,8331
beats_official_dim_0281,0.0379922282670308,-0.004618247836135332,0.13750696235682447,0.1410577871129456,-0.30587623157047067,0.30587623157047067,0.1338928881523075,4094,8331
beats_official_dim_0272,0.12276065909138831,0.16250504497464416,0.12038176721629236,0.13932763966556055,0.30523052881532303,0.30523052881532303,0.12430650098392959,4094,8331
beats_official_dim_0093,0.069076672733653,0.10456165366079964,0.11272619507608334,0.12007967382359389,0.3046669906864394,0.3046669906864394,0.10942338891528602,4094,8331
beats_official_dim_0614,0.09566575748360205,0.14044745750435567,0.15858832572445414,0.13558594244775973,0.3035013360752597,0.3035013360752597,0.15557264680910848,4094,8331
beats_official_dim_0413,0.0889047633791389,0.13093920420614988,0.14140077319027144,0.13632032075607572,0.3026311978497399,0.3026311978497399,0.158611397024093,4094,8331
beats_official_dim_0431,0.050182734724603446,0.08683612491669507,0.12164155000530806,0.12187937979077947,0.3010011221394056,0.3010011221394056,0.1196888133073939,4094,8331
beats_official_dim_0023,-0.01955483466905055,-0.06255958863643887,0.14716849652598102,0.1385259021178241,-0.3008886022580945,0.3008886022580945,0.141605443368794,4094,8331
