auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,model_name,modality,table_source,calibration_method,fusion_method
0.5205463987356063,0.3332680120020846,0.5,0.0,0.0,1.0,0.2187622872293451,0.0020840369066089,0.6292535385160986,0.5,636.0,dummy_stratified,breath,calibration_metrics,platt,
0.5205463987356063,0.3332680120020846,0.5,0.0,0.0,1.0,0.2187622872293451,0.0020840369066089,0.6292535385160986,0.5,636.0,dummy_stratified,cough,calibration_metrics,platt,
0.5074147663129375,0.3272479840248519,0.5,0.0,0.0,1.0,0.2189772887267801,0.0020522236576048,0.6297480164328568,0.5,1590.0,dummy_stratified,speech,calibration_metrics,platt,
0.75505757507338,0.5660525173005319,0.5612892300745089,0.2489959839357429,0.1504854368932038,0.972093023255814,0.1868158710412704,0.0576417412121541,0.5532411206425034,0.5,636.0,logistic_regression,breath,calibration_metrics,platt,
0.785470760894107,0.6562693018535969,0.6825016933845112,0.5515151515151515,0.441747572815534,0.9232558139534884,0.1730671522956535,0.0796313975751205,0.52634515599909,0.5,636.0,logistic_regression,cough,calibration_metrics,platt,
0.7479891623391285,0.6089307637120845,0.6397967938586588,0.481437125748503,0.3902912621359223,0.8893023255813953,0.1836221158987184,0.045797024481174,0.5476875104369165,0.5,1590.0,logistic_regression,speech,calibration_metrics,platt,
0.798600135470761,0.67173915225781,0.6542334612779408,0.4935064935064935,0.3689320388349514,0.9395348837209302,0.1712732962485889,0.0852442894922673,0.522613927071822,0.5,636.0,random_forest,breath,calibration_metrics,platt,
0.8067396703544818,0.7186381356332956,0.657518627229623,0.4949832775919732,0.3592233009708738,0.955813953488372,0.1669104272577417,0.0917898295359492,0.5128138991163282,0.5,636.0,random_forest,cough,calibration_metrics,platt,
0.7587645066606458,0.6203900630527404,0.6556920298035673,0.5030978934324659,0.3941747572815534,0.9172093023255814,0.1783765634744322,0.0445847513685305,0.5370879320982698,0.5,1590.0,random_forest,speech,calibration_metrics,platt,
0.8785730413185822,0.8384324085055499,0.7934070896364868,0.7130434782608696,0.7961165048543689,0.7906976744186046,0.1894211243838336,0.1454401586345655,0.5641210077316143,0.335697737445837,318.0,,,fusion_metrics,,uniform_mean
0.8781666290358997,0.841994597820501,0.8107925039512305,0.7450980392156863,0.7378640776699029,0.8837209302325582,0.1890738934886747,0.1488101084828209,0.5633838412231928,0.3492688068031949,318.0,,,fusion_metrics,,validation_weighted_auprc
0.8762248814630841,0.8314917191226096,0.8088733348385639,0.7393364928909952,0.7572815533980582,0.8604651162790697,0.1892947835940888,0.1489744246953628,0.5638929175490256,0.344215444096419,318.0,,,quality_weighted_fusion_metrics,,quality_weighted_auprc
0.9362665819277546,0.9216161989052694,0.8905923082712426,0.8537248504622077,0.8468176914778857,0.9343669250645996,0.0740566761286341,0.0721530746426244,0.2682640675910411,0.5,2862.0,metadata_logistic_regression,metadata,metadata_baseline_metrics,,
